YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.3112410	0.2270932	0.4063213	0.6638734	0.7951179	0.2037094	0.9162283	0.4703236	0.7725641	1.0000000
0.6224931	0.1135599	0.4063382	0.6638843	0.7951092	0.2037106	0.9162256	0.4703236	0.7725641	1.0000000
0.6224882	0.2271037	0.2031753	0.6638802	0.7951125	0.2037101	0.9162267	0.4703236	0.7725641	1.0000000
0.5942879	0.2030424	0.1377489	0.3196771	0.8320681	0.1939112	0.9585350	0.4703236	0.7725641	1.0000000
0.9303341	0.7915023	0.5729889	0.9297795	0.3850780	0.2098490	0.8928735	0.4703236	0.7725641	1.0000000
0.4869191	0.1320739	0.3146315	0.5434860	0.9925088	0.1002459	0.9293875	0.4703236	0.7725641	1.0000000
0.9998962	0.9998962	0.6081662	0.9998153	0.0448572	0.5602068	0.4439097	0.4703236	0.7725641	1.0000000
0.5769094	0.1894507	0.3770479	0.6241323	0.8555534	0.1870750	0.9926634	0.2351618	0.7725641	1.0000000
0.5737225	0.1870486	0.3749149	0.6213312	0.8599294	0.1857317	0.9999158	0.0711056	0.3862821	1.0000000
0.5736858	0.1870217	0.3748910	0.6212990	0.8599792	0.1857164	0.9999994	0.0180654	0.2172322	0.5000000
