"Time"	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C

0	0.9828353	0.8400509	0.1178160	0.0957908	0.1277853	0.2536428	0.9984723	0.9108084	0.2323951	0.9990324
50	0.9828645	0.8365495	0.1459859	0.1345395	0.2741031	0.1216273	0.9984724	0.9108137	0.2323935	0.9989977
100	0.9817225	0.7699858	0.2742761	0.2066027	0.4419853	0.0547596	0.9984725	0.9108160	0.2323991	0.9973570
150	0.9717628	0.6144128	0.4077074	0.2873425	0.5388667	0.0393051	0.9984725	0.9108103	0.2324940	0.9850370
200	0.9314658	0.4686553	0.4836410	0.3572987	0.5856449	0.0362946	0.9984724	0.9107520	0.2329784	0.9535069
250	0.8370751	0.3807474	0.5072282	0.4074712	0.6064362	0.0357457	0.9984718	0.9105211	0.2341601	0.9148803
300	0.7163789	0.3415247	0.5028285	0.4390960	0.6152493	0.0356487	0.9984699	0.9100014	0.2358689	0.8872197
350	0.6266758	0.3304001	0.4920525	0.4573156	0.6188735	0.0356322	0.9984662	0.9092319	0.2374989	0.8757551
400	0.5853412	0.3310925	0.4855133	0.4671499	0.6203333	0.0356299	0.9984610	0.9084181	0.2385600	0.8749034
450	0.5759791	0.3340483	0.4842362	0.4722037	0.6209127	0.0356302	0.9984557	0.9077754	0.2390057	0.8774575
500	0.5784032	0.3356255	0.4854486	0.4747036	0.6211402	0.0356310	0.9984514	0.9073901	0.2390773	0.8794228
550	0.5815388	0.3364578	0.4691724	0.4444235	0.4667890	0.1676486	0.9984487	0.9072187	0.2390232	0.8805418
600	0.5900435	0.3527616	0.3789806	0.3673630	0.2931972	0.2345176	0.9984473	0.9071725	0.2388851	0.8916871
650	0.6424839	0.4160806	0.2666462	0.2754132	0.1990896	0.2499727	0.9984469	0.9072340	0.2382564	0.9220167
700	0.7552502	0.5278035	0.1886722	0.2007799	0.1568878	0.2529833	0.9984475	0.9075193	0.2369280	0.9549043
750	0.8648248	0.6472721	0.1480235	0.1521647	0.1393440	0.2535320	0.9984498	0.9080880	0.2353841	0.9772756
800	0.9301530	0.7372434	0.1298362	0.1243303	0.1323066	0.2536285	0.9984537	0.9088087	0.2341283	0.9892521
850	0.9607939	0.7909001	0.1223934	0.1096314	0.1295367	0.2536443	0.9984584	0.9094889	0.2333070	0.9948847
900	0.9738279	0.8183775	0.1195107	0.1022799	0.1284585	0.2536460	0.9984630	0.9100142	0.2328406	0.9973414
950	0.9792031	0.8310860	0.1184307	0.0987431	0.1280417	0.2536453	0.9984665	0.9103662	0.2326001	0.9983638
1000	0.9814055	0.8365643	0.1180331	0.0970906	0.1278812	0.2536444	0.9984690	0.9105787	0.2324846	0.9987761

0	0.9828353	0.8400509	0.1178160	0.0957908	0.1277853	0.2536428	0.9984723	0.9108084	0.2323951	0.9990324
50	0.9828871	0.8417664	0.1060183	0.0957043	0.1232615	0.1094199	0.9984724	0.9107498	0.2345739	0.6938590
100	0.9833027	0.8662832	0.0653877	0.0947939	0.1083756	0.0363691	0.9984697	0.9086501	0.2597867	0.3636899
150	0.9850620	0.9152350	0.0371765	0.0925292	0.0958256	0.0194860	0.9984393	0.8941226	0.3606143	0.1873886
200	0.9874897	0.9551426	0.0264222	0.0898121	0.0887195	0.0162010	0.9982784	0.8454444	0.5520684	0.1095015
250	0.9893578	0.9762602	0.0232456	0.0875175	0.0852824	0.0156178	0.9977384	0.7606545	0.7375340	0.0780505
300	0.9904181	0.9851963	0.0224109	0.0859239	0.0837485	0.0155601	0.9964733	0.6726373	0.8551081	0.0660015
350	0.9909243	0.9885188	0.0222026	0.0849444	0.0830961	0.0156451	0.9943177	0.6068178	0.9144592	0.0615422
400	0.9911405	0.9896552	0.0221512	0.0843904	0.0828278	0.0158074	0.9916241	0.5663603	0.9409109	0.0599316
450	0.9912258	0.9900221	0.0221383	0.0840954	0.0827207	0.0160080	0.9890911	0.5443511	0.9518677	0.0593603
500	0.9912575	0.9901357	0.0221349	0.0839455	0.0826797	0.0161992	0.9872045	0.5333151	0.9561997	0.0591604
550	0.9912687	0.9901606	0.0224294	0.0838774	0.0836689	0.1620908	0.9860398	0.5300590	0.8767739	0.3645623
600	0.9912699	0.9895403	0.0280749	0.0840692	0.0926415	0.2360981	0.9863303	0.5657660	0.5933608	0.6950371
650	0.9912274	0.9843446	0.0457770	0.0851511	0.1063678	0.2529002	0.9897398	0.6593113	0.3887832	0.8715154
700	0.9909956	0.9675913	0.0702852	0.0872642	0.1170773	0.2553130	0.9937635	0.7605590	0.2927679	0.9494639
750	0.9903388	0.9381431	0.0915301	0.0897777	0.1231797	0.2549122	0.9962810	0.8326500	0.2543784	0.9808665
800	0.9891353	0.9048858	0.1052189	0.0919975	0.1260590	0.2543244	0.9975095	0.8736710	0.2401467	0.9927650
850	0.9875554	0.8774447	0.1124533	0.0936053	0.1272365	0.2539653	0.9980579	0.8941994	0.2350743	0.9970254
900	0.9859725	0.8592911	0.1157669	0.0946161	0.1276558	0.2537869	0.9982958	0.9036905	0.2333059	0.9984543
950	0.9847031	0.8490630	0.1171184	0.0951872	0.1277798	0.2537053	0.9983979	0.9078545	0.2326985	0.9988947
1000	0.9838535	0.8439699	0.1176116	0.0954834	0.1278039	0.2536694	0.9984414	0.9096151	0.2324928	0.9990148

0	0.9828353	0.8400509	0.1178160	0.0957908	0.1277853	0.2536428	0.9984723	0.9108084	0.2323951	0.9990324
50	0.9827039	0.8183049	0.1892582	0.0958055	0.1297698	0.2536427	0.9984724	0.9108137	0.2323942	0.9987082
100	0.9795859	0.7336194	0.2356797	0.0960877	0.1321012	0.2536427	0.9984725	0.9108149	0.2324134	0.9963200
150	0.9698360	0.6555060	0.2503238	0.0965679	0.1334703	0.2536427	0.9984725	0.9108049	0.2324917	0.9925322
200	0.9555677	0.6121536	0.2542253	0.0970444	0.1341382	0.2536427	0.9984724	0.9107715	0.2326219	0.9893773
250	0.9426447	0.5932899	0.2550900	0.0974084	0.1344371	0.2536427	0.9984721	0.9107150	0.2327565	0.9874749
300	0.9342801	0.5862512	0.2551936	0.0976465	0.1345643	0.2536428	0.9984717	0.9106497	0.2328606	0.9865265
350	0.9299960	0.5839421	0.2551544	0.0977871	0.1346168	0.2536429	0.9984713	0.9105912	0.2329268	0.9861119
400	0.9281420	0.5832877	0.2551151	0.0978644	0.1346380	0.2536430	0.9984709	0.9105475	0.2329635	0.9859487
450	0.9274397	0.5831412	0.2550943	0.0979046	0.1346465	0.2536431	0.9984706	0.9105190	0.2329817	0.9858903
