YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.5439968	0.9506265	1.0178509	0.2523322	0.1085945	1.0287989	0.7081367	0.4684465	0.5967299	0.6820613
0.9838588	0.4923894	0.9227351	0.2872766	0.0648356	1.0453436	0.7311058	0.5764353	0.5455306	0.7212328
0.9551606	0.9165747	0.5434371	0.1806222	0.1485889	1.0515896	0.6614831	0.5963387	0.3791304	0.8058667
1.1186487	0.9382618	0.9663445	0.0974957	0.0516614	0.9846274	0.7157568	0.4478873	0.7756580	0.4696247
0.9807950	0.9956824	0.9794723	0.2450581	0.0422234	1.0341802	0.6502596	0.5795358	0.4822755	0.6803243
1.0153443	1.0141549	1.0594914	0.2245416	0.0737606	0.5427209	0.7845427	0.5742575	0.4437924	0.6829896
1.0567861	0.9629205	1.0524586	0.2907491	0.0373849	1.0184200	0.3797013	0.4967609	0.6359433	0.6973418
1.1560439	1.0191296	1.0520833	0.2603635	0.0743595	0.9725764	0.9947652	0.2718059	0.5305953	0.6558520
0.9779286	1.0503725	1.0261975	0.2079411	0.3259941	0.9990044	0.6325385	0.7153769	0.2542842	0.6719086
1.1037575	1.0171184	1.0226160	0.5257661	0.0417722	1.0322296	0.7850174	0.3840764	1.0128444	0.3208759
