YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.0000000	0.9643311	0.2862745	0.1812164	0.1728578	0.3514587	0.3555140	0.6602908	0.8920315	0.9977852
1.0318938	0.0000000	0.4288565	0.3004047	0.2479249	0.3658973	0.5038759	0.3304842	0.8739576	1.0854868
0.5078000	1.0333047	0.0000000	0.4298034	0.3061388	0.4324748	0.2965797	0.6254179	0.8939035	0.9373166
0.4429269	0.9613123	0.1468368	0.0000000	0.1541682	0.3070407	0.3439225	0.5690422	0.9577163	1.0934423
0.5200786	1.0013870	0.1892495	0.0922102	0.0000000	0.3884116	0.3492027	0.6073017	0.8229552	1.0482365
0.6052841	1.0069130	0.1701717	0.1070088	0.0240624	0.0000000	0.3363640	0.5061169	0.8974751	1.0926408
0.6787194	0.7772299	0.3468019	0.2110381	0.2115881	0.3560709	0.0000000	0.5094187	0.8786374	1.0940944
0.7749091	0.8993201	0.2571940	0.1801662	0.1525319	0.3569712	1.0348057	0.0000000	0.8474505	0.9476167
0.8956495	0.0634874	1.0025653	0.8992384	0.6598278	0.7672581	0.3172427	0.5819574	0.0000000	0.9723191
1.0579409	0.0718921	0.9553162	0.8267695	0.5762132	0.5820650	0.3471561	0.5563062	0.0440161	0.0000000
