"Time"	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C

0	0.8323761	0.0668787	0.0022042	0.9940793	0.9267430	0.3660222	0.9191836	0.9278498	0.9572511	1.0163276
50	0.8398812	0.3431474	0.0016293	0.9492861	0.9133033	0.4105722	0.9584400	1.0278368	1.1601980	0.8750934
100	0.6750210	0.5720073	0.0128246	0.9155031	0.8226125	0.4403437	0.9526052	0.9871736	1.0917687	1.1147942
150	0.5534505	0.6559075	0.0058994	0.9922239	0.7540659	0.3668014	0.8583523	0.9550533	0.9709908	1.0398442
200	0.4048224	0.6983079	0.0075421	1.0178051	0.7403656	0.3232069	0.8204339	0.9581717	0.8571223	1.1005752
250	0.3012293	0.7006188	0.0142327	0.9072477	0.6015662	0.2665096	0.9299497	0.9856140	0.8958339	1.0582056
300	0.2247194	0.7587768	0.0227171	0.9814850	0.6498636	0.2136970	0.9213298	0.9453931	0.8080908	1.1236776
350	0.2133213	0.8506863	0.0114741	0.9414780	0.6533184	0.2039068	1.0149379	0.9714578	0.9251033	1.0757202
400	0.2099180	0.8973531	0.0079645	1.0361995	0.6445282	0.2219682	0.9969398	1.0008503	0.9208063	1.0114733
450	0.1651702	0.8663265	0.0088338	0.9834904	0.5654302	0.2413229	0.9709543	0.9585131	0.8417766	0.9787204
500	0.1453667	0.8889029	0.0008764	0.8969248	0.6169659	0.2058143	1.0075377	0.9313318	0.9330503	1.0232973
550	0.1502308	0.6577318	0.0049305	0.9188963	0.7249793	0.2154393	0.9558907	1.0191051	0.8774838	1.0596789
600	0.1807224	0.3554473	0.0080176	1.0013997	0.7021887	0.2124326	0.9362703	1.0062387	0.9681165	0.9641629
650	0.2467197	0.1958536	0.0131228	0.8998039	0.8437383	0.2684721	0.9038003	0.9898396	0.9728811	0.9781884
700	0.4257268	0.1232659	0.0157898	0.9897292	0.9121382	0.3606601	0.8801466	0.9559023	0.9771903	0.9834347
750	0.6139922	0.0739362	0.0110093	0.9959935	0.9633688	0.3281885	0.8858243	0.9638947	0.8859855	1.0006274
800	0.7823730	0.0857482	0.0039744	1.1013792	0.9684502	0.3330390	0.9581688	0.9662389	0.8891898	1.0689185
850	0.9460895	0.0750880	0.0084606	1.0583248	0.9845110	0.3679395	0.8834983	0.9886597	0.8526005	1.0562834
900	0.9163314	0.0855363	0.0045801	1.0845470	0.8740347	0.4180852	0.9947806	1.0977192	0.8310534	0.9730397
