"Time"	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C

0	0.2724491	0.1425140	0.6195327	0.3558343	0.3237341	0.6046074	0.4942643	0.7814728	0.0620849	0.8480408
50	0.3700646	0.1369668	0.3621069	0.1675057	0.4160463	0.6129435	0.3047298	0.5786260	0.0437695	0.7309011
100	0.5267135	0.2605926	0.2369582	0.1034562	0.4232622	0.3215116	0.3626903	0.6667057	0.0472097	0.7065664
150	0.5797950	0.2073904	0.3106131	0.0547845	0.4059038	0.2583639	0.2619534	0.6947021	0.0566997	0.7121485
200	0.4877881	0.1448633	0.1602454	0.0847794	0.2740958	0.1906659	0.2128136	0.6523253	0.0310570	0.5956634
250	0.3849873	0.1400714	0.2277065	0.1061218	0.2192253	0.1629360	0.1874888	0.7686780	0.0689270	0.5867457
300	0.3888770	0.0783489	0.2314012	0.1882894	0.1874652	0.0914372	0.2354084	0.8640148	0.0238511	0.8160720
350	0.4222607	0.0309406	0.1446124	0.2119239	0.1500037	0.1249017	0.3384988	0.7679935	0.0460075	0.8622505
400	0.3528917	0.0348170	0.1351693	0.2918180	0.1203343	0.1368688	0.4382463	0.7964701	0.0263162	0.8312030
450	0.3678221	0.0670917	0.1633504	0.3034975	0.1035022	0.1797585	0.4335441	0.7885503	0.0538272	0.6763381
500	0.3560215	0.0178516	0.1832999	0.2482015	0.0561678	0.2608063	0.5072495	0.7666917	0.0464844	0.7876670
550	0.2455154	0.0361261	0.3738794	0.4328727	0.0977703	0.4200976	0.5761905	0.8299221	0.0636959	0.7574150
600	0.1194475	0.0244154	0.5135523	0.4091240	0.1854578	0.4344211	0.6617902	0.8093033	0.0807570	0.7122384
650	0.1073261	0.0602009	0.5407543	0.6145106	0.1977208	0.6005632	0.6287340	0.7551474	0.0460406	0.7133747
700	0.1380896	0.0524027	0.4666157	0.4299753	0.1818482	0.5384765	0.6598901	0.7156554	0.0698953	0.7383788
750	0.1952568	0.0541870	0.4317083	0.5028539	0.2840039	0.5795499	0.6385090	0.6808772	0.0629618	0.6917760
800	0.2517214	0.1428676	0.5935590	0.3340614	0.4617928	0.5440603	0.6071002	0.7276266	0.0469681	0.7182439
850	0.3624857	0.1637980	0.6158190	0.2802309	0.3246148	0.7500646	0.5439498	0.8485265	0.0633133	0.7178233
900	0.3211503	0.1710349	0.7635113	0.2109833	0.3627078	0.5965377	0.6201958	0.7297361	0.0759736	0.7155146
950	0.3362634	0.1121832	0.6040881	0.1871696	0.3589369	0.5709662	0.5772582	0.6843103	0.0544123	0.8264295
1000	0.4371236	0.1295859	0.8014176	0.2283234	0.3260747	0.6718045	0.4740812	0.7098097	0.0640285	0.6539815

0	0.3074329	0.1226889	0.6914961	0.2432630	0.3111649	0.5711928	0.5620377	0.6797123	0.0536816	0.8032923
50	0.6251184	0.1645580	0.6311968	0.2056950	0.3482902	0.5825784	0.4581322	0.6610150	0.0515676	0.6711517
100	0.6481764	0.1926409	0.5572244	0.2372264	0.3560316	0.5389129	0.4511315	0.7330243	0.0662138	0.7057223
150	0.6767158	0.1841910	0.7228552	0.3140542	0.3032866	0.4882262	0.2970783	0.7336127	0.0799883	0.6331159
200	0.7469110	0.1190523	0.5592499	0.2917578	0.3046683	0.4202735	0.4219806	0.6490361	0.0431487	0.8193797
250	0.7340270	0.1127037	0.6101652	0.2726517	0.2818248	0.4637072	0.3607979	0.6551892	0.0690779	0.6671967
300	0.7964236	0.1222924	0.7988856	0.2565184	0.2705259	0.4193747	0.4712468	0.6567891	0.1015027	0.6104898
350	0.7044636	0.0881906	0.8027960	0.3178309	0.2742697	0.5859179	0.5093426	0.7837945	0.0742255	0.7033676
400	0.7425566	0.0605970	0.5997105	0.4153674	0.2260016	0.4923719	0.4969945	0.6755834	0.0714969	0.9188264
450	0.7035421	0.1310521	0.5975423	0.3245820	0.2928654	0.7090955	0.6336299	0.8292836	0.0259949	0.9357723
500	0.6122058	0.1198084	0.6975330	0.3389001	0.2890712	0.6389548	0.5597567	0.7921886	0.0262036	0.7760000
550	0.6243822	0.0784470	0.7418163	0.3573380	0.3265487	0.6374229	0.5047570	0.6731150	0.0293216	0.7402463
600	0.4512174	0.0926792	0.5018744	0.3089408	0.4164158	0.5613087	0.3904887	0.7811838	0.0456815	0.7387734
650	0.4328252	0.2220257	0.6097065	0.2239000	0.3236470	0.4757044	0.5232927	0.6844963	0.0583942	0.6876346
700	0.3660195	0.2099569	0.8129739	0.1969362	0.4283438	0.6749010	0.4600984	0.7011722	0.0464361	0.8479417
750	0.4282114	0.2064470	0.6827402	0.1570941	0.4113344	0.4065437	0.3808949	0.7189280	0.0699776	0.7401711
800	0.3475311	0.2371940	0.6751138	0.1401354	0.3959467	0.4515278	0.3334431	0.6857546	0.0577646	0.8225200
850	0.3421026	0.2479531	0.6860750	0.1890335	0.3803478	0.4421144	0.3471986	0.6740482	0.0941826	0.6064215
900	0.3742606	0.3126749	0.8360057	0.1622903	0.3449532	0.2738134	0.3179843	0.7036206	0.0699649	0.7053897
