YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.2364081	0.3466644	0.7089585	0.5279788	0.4374616	0.2876152	0.5623498	0.4642967	0.5210287	0.8503656
0.5796411	0.1687357	0.6413504	0.5528334	0.2345120	0.6142466	0.1841750	0.4537425	0.5041485	0.7137422
0.4143488	0.8076371	0.3606519	0.6676757	0.7555677	0.0991987	0.6965951	0.1227777	0.4637979	0.7963632
0.3351968	0.8420661	0.3874872	0.3028763	0.5399619	0.1036748	0.8759277	0.1558252	0.4812379	0.9342432
0.4574235	0.6241977	0.5704945	0.2375680	0.2327069	0.2252300	0.7314228	0.4107995	0.4798260	0.7666005
0.5169956	0.5058837	0.6410473	0.4592553	0.2961963	0.1252756	0.3795367	0.5174781	0.4683776	0.8921371
0.4330223	0.6649807	0.7036025	0.4374820	0.2803584	0.4538139	0.3404478	0.3414992	0.5191988	0.7221031
0.5597099	0.5452573	0.7147989	0.7062146	0.5752842	0.1006376	0.7227810	0.2464082	0.5171122	0.7946429
0.4598212	0.4283012	0.7432944	0.3927126	0.2818991	0.5721062	0.4087358	0.4603811	0.3369810	0.8194764
0.5416561	0.2756879	0.6685635	0.4975070	0.2536993	0.4837473	0.1781038	0.5652159	0.2612703	0.3743790
