YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0837259	0.0000001	0.6445676	0.1225433	0.9999985	0.0000001	0.6156002	1.0000000	0.5109459	1.0000000
0.0837259	0.0000001	0.0786569	0.9999997	0.0000005	0.6428540	0.6156002	1.0000000	0.1570097	1.0000000
0.0837259	0.0000000	0.6443889	0.1225650	0.9998371	0.0148930	0.0100986	0.0000001	0.5108714	1.0000000
0.0837259	0.0000000	0.3866540	0.2149461	0.6095040	0.6428540	0.6156002	1.0000000	0.0000040	1.0000000
0.0837259	0.0000003	0.3865006	0.2149480	0.6095035	0.6428540	0.6156002	1.0000000	0.6573865	0.0000047
0.0837307	0.0150048	0.0786569	0.9999997	0.0000005	0.0000001	0.6156002	1.0000000	0.1570115	0.9999996
0.0837307	0.0150048	0.0786569	0.9999997	0.0000005	0.0148948	0.0101022	0.0000005	0.1570113	0.9999996
0.0837307	0.0150048	0.0786569	0.9999997	0.0000005	0.6428540	0.6156002	1.0000000	0.4874814	0.0000017
0.1017498	0.0711060	0.2329879	0.3001041	0.6379285	0.0000000	0.0100982	0.0000000	0.2778048	0.9901600
0.1017498	0.0711060	0.2329879	0.3001041	0.6379285	0.0000000	0.6156002	1.0000000	0.5906517	0.0000000
