YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.0536514	0.2086868	0.7173853	0.3897931	0.6080313	0.3862189	0.2211465	0.0156690	0.5685531	0.3379002
0.1536502	0.1099270	0.5588988	0.4131439	0.3999768	0.8201813	0.5271389	0.0338738	0.3143728	0.4194023
0.0979730	0.2398151	0.2873215	0.2981675	0.4453302	0.7800162	0.4687984	0.0230628	0.3097748	0.3798173
0.0732176	0.2199340	0.0705439	0.2002861	0.4155320	0.7954157	0.7069760	0.1928953	0.1597522	0.4604108
0.1168202	0.3589836	0.1590385	0.2725533	0.2651146	0.7928963	0.7870350	0.3955507	0.1334094	0.5403372
0.0586769	0.1803631	0.6732188	0.4370526	0.5349765	0.3700548	0.3638286	0.0030305	0.5327840	0.3898605
0.1048721	0.2054478	0.5703504	0.3776383	0.7104686	0.2934571	0.1732464	0.0395518	0.4387423	0.3669355
0.0746029	0.2490898	0.5916965	0.4659875	0.4503651	0.6497719	0.2959532	0.0145325	0.5217593	0.4512395
0.0697747	0.2483357	0.6013981	0.3613807	0.4430786	0.9416420	0.6844585	0.0497871	0.2884163	0.3784851
0.0595864	0.2890619	0.6597752	0.3877089	0.4720667	0.7240580	0.2384564	0.0113592	0.4998195	0.1774585
