YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.0000000	0.4694303	0.7653049	0.8326117	0.6238683	0.4427112	0.8407735	0.5994028	0.3695618	0.4639076
0.0636621	0.0000000	0.5824472	0.6069307	0.6594420	0.3862886	0.7113105	0.4440028	0.2843599	0.4188337
0.5022079	0.6705951	0.0000000	0.6327691	0.7226200	0.3253285	0.7149602	0.4302156	0.3488054	0.5686985
0.3442160	0.3923096	0.6647935	0.0000000	0.4269611	0.8504607	0.4571538	0.4426781	0.4221154	0.5798914
0.4077753	0.4458275	0.7118143	0.7582523	0.0000000	0.5192123	0.7253124	0.6681564	0.4556981	0.3380540
0.3137764	0.4515533	0.8440333	0.7940124	0.7204666	0.0000000	0.8713900	0.5460427	0.3452386	0.6267092
0.4847452	0.6206234	0.0278529	0.9151315	0.7249397	0.0627257	0.0000000	0.4318015	0.3592435	0.6787180
0.3741748	0.4173139	0.5844948	0.6994495	0.6397204	0.4606604	0.3164825	0.0000000	0.4420421	0.4535646
0.0443776	0.0224004	0.5255417	0.7265769	0.7018073	0.4703437	0.4714637	0.0237189	0.0000000	0.5948982
0.0489021	0.0614426	0.5962899	0.7200798	0.7619601	0.5190898	0.3819060	0.0326711	0.1027124	0.0000000
