YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C
0.2519999	0.9647409	0.1270588	0.2567854	0.3305309	0.8571437	0.4254813	0.7632780	0.9049635	1.0003443
0.0936312	0.9450847	0.0004863	0.1141992	0.3166769	0.9600367	0.3275079	0.3688729	0.8532930	0.9043836
0.3166717	1.0178433	0.0014172	0.1180789	0.2793712	0.9762021	0.0002584	0.0000056	0.9526912	0.9817633
0.3771882	0.6570145	0.0261264	0.2111791	0.3456157	0.7969600	0.0384728	0.1370252	0.7143865	0.6495269
0.3440291	1.0477003	0.0289974	0.2952045	0.3656583	0.7156963	0.5215891	0.9999295	0.8853445	0.9804669
0.0005586	1.0361166	0.2340691	0.0105766	0.1479789	1.0478162	0.2686794	0.0919574	0.9196621	0.9002988
0.0655977	1.0315722	0.5436343	0.0848888	0.0166509	0.9907702	0.2788372	0.5427475	0.8534335	0.9851889
0.1798639	0.9592920	0.3667523	0.1876336	0.2886377	0.9412503	0.5102851	0.4235934	0.5806003	0.3964117
0.6152696	0.9269029	0.0458347	0.4182463	0.3814393	0.8457052	0.0753309	0.1265467	0.8116140	0.6855752
0.0439822	0.7823181	0.1054323	0.4535802	0.2237874	1.1237384	0.1364448	0.0050020	0.9293105	0.9447711
