YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.2018977	0.4341755	0.0527863	0.8637778	0.0268074	0.3396918	0.9274995	0.8759744	0.7826958	0.2349285
0.2769495	0.4716324	0.0606504	0.6599048	0.0193740	0.3287059	0.9271007	0.8759331	0.9413868	0.0741823
0.4720448	0.8891078	0.0052980	0.8972408	0.0861538	0.2309082	0.9735687	0.3033301	0.4463289	0.4851017
0.7509885	1.0569746	0.0012383	0.9409179	0.0834179	0.2736677	0.8771560	0.2141108	0.1306160	0.9402935
0.5874702	0.6903495	0.0630964	0.9504852	0.0143590	0.2017041	1.0089691	0.9344726	0.8573353	0.1680848
0.3772658	0.2677313	0.0019141	0.8152573	0.0072869	0.2472460	0.9811338	0.9274649	0.8744997	0.0635489
0.5164159	0.8365318	0.0006965	0.8595163	0.0202652	0.3261298	0.8891308	0.2202848	0.3637149	0.7114044
0.4446112	0.6080937	0.0745966	0.8542983	0.1249614	0.3048331	0.9078302	0.3538062	0.4293375	0.6556164
0.4890443	0.7039790	0.0555785	0.9229187	0.0224803	0.2704173	1.0159129	0.8224661	0.7864499	0.2296549
0.4567668	0.6460142	0.0494326	0.8378299	0.1125308	0.3362014	0.9203214	0.9319537	0.9428982	0.1228198
