YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.0000000	0.5823659	0.3699334	0.6821375	0.3139347	0.6944026	0.1878029	0.7844260	0.0793162	0.6746659
0.0157836	0.0000000	0.4744853	0.5997649	0.2203561	0.6944593	0.1616216	0.7498080	0.0844625	0.6704108
0.0194405	0.7284113	0.0000000	0.5112450	0.3186950	0.7269493	0.2098309	0.6218530	0.1245476	0.7055609
0.3562090	0.6250621	0.3530904	0.0000000	0.2595012	0.7900108	0.2534853	0.6571567	0.0572192	0.7263159
0.3380200	0.5432540	0.3404414	0.5322589	0.0000000	0.7004305	0.1645271	0.7161524	0.0913020	0.7833772
0.3680397	0.4843326	0.4356550	0.5741651	0.7092611	0.0000000	0.2021046	0.5668939	0.0909529	0.8359467
0.3816339	0.4168661	0.4583344	0.6910651	0.3307665	0.7102213	0.0000000	0.5866944	0.0603128	0.6942483
0.1015377	0.6608029	0.1539548	0.6753272	0.4107160	0.2820572	0.7200265	0.0000000	0.7297074	0.6768660
0.2309003	0.2433673	0.6156955	0.7105839	0.3241219	0.7980667	0.1557573	0.7661217	0.0000000	0.9007944
0.0267431	0.7096021	0.0509034	0.3265179	0.3654744	0.2838840	0.7502102	0.0669093	0.7411263	0.0000000
