YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.0000000	0.6375937	0.4174927	0.7594071	0.2622399	0.3254920	0.7417202	0.5235342	0.4009668	0.6898315
0.0475658	0.0000000	0.3196833	0.6486085	0.3042191	0.3726688	0.6838063	0.7148964	0.3932875	0.7071257
0.4524792	0.7991583	0.0000000	0.6135810	0.2000543	0.4019133	0.5256805	0.7532625	0.4917566	0.7099065
0.1090613	0.2700001	0.7776892	0.0000000	0.3289396	0.3955558	0.7763385	0.4827886	0.5078438	0.8382113
0.3809256	0.5966214	0.2882797	0.8545903	0.0000000	0.3551055	0.6852574	0.5396556	0.3905422	0.7757981
0.4349468	0.6572857	0.3682783	0.5674275	0.0133773	0.0000000	0.8344120	0.5217378	0.4048088	0.6457483
0.3713918	0.5960145	0.3664857	0.6749236	0.3307582	0.0217022	0.0000000	0.3580868	0.5253701	0.6852501
0.4582797	0.5656972	0.2767666	0.7417584	0.2225011	0.2286601	0.3904366	0.0000000	0.3734072	0.6247203
0.4292258	0.6147943	0.3432489	0.7313913	0.1692747	0.2743432	0.6885372	0.2652656	0.0000000	0.6764149
0.4910630	0.5044166	0.4031967	0.7208446	0.2552622	0.4325413	0.6678620	0.7841068	0.0161406	0.0000000
