YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.3534728	0.4828320	0.9714582	0.7903197	0.6237300	0.2764256	0.6955862	0.5991949	0.6394323	1.0000000
0.8577978	0.2630716	0.9343973	0.6549902	0.4420384	0.5125415	0.4535973	0.5760845	0.6394323	1.0000000
0.4680048	0.9562377	0.4891411	0.8401578	0.7364267	0.1404860	0.9990405	0.1719687	0.6394323	1.0000000
0.5099638	0.8517918	0.6515079	0.4195041	0.7334779	0.1446321	0.9840243	0.2884321	0.6394323	1.0000000
0.5942512	0.6739813	0.8183608	0.5195907	0.3361474	0.2313301	0.7904155	0.4711224	0.6394323	1.0000000
0.6757280	0.5336824	0.9273587	0.6387315	0.4276894	0.2057973	0.5407856	0.5721246	0.6394323	1.0000000
0.6548370	0.5661785	0.9013522	0.5945647	0.3878828	0.7379277	0.2996194	0.5518806	0.6394323	1.0000000
0.7108399	0.4756544	0.9780231	0.8381602	0.7307372	0.1491802	0.9689035	0.3012731	0.6394323	1.0000000
0.6567406	0.5635744	0.9032445	0.5972123	0.3902623	0.6966633	0.3267107	0.6891227	0.3197162	1.0000000
0.6695564	0.5427936	0.9199550	0.6235292	0.4125353	0.5821531	0.4024029	0.6415109	0.4541456	0.5000000
