YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.8123780	0.5403406	0.8313785	0.0515382	0.5997109	0.7376355	0.9042792	0.3442939	0.3432014	0.3277318
0.6018711	0.7123046	0.8043424	0.1119302	0.7319941	0.7128757	0.9037365	0.6114434	0.3137580	0.4195786
0.5535465	0.5980904	0.8747324	0.0947305	0.8200937	0.7757711	0.5603472	0.1349242	0.7247585	0.4097051
0.7318701	0.5453489	0.9043462	0.0339468	0.8028275	0.8058753	0.8055086	0.4107410	0.2376609	0.4631607
0.8852095	0.4862519	0.8518088	0.0674996	0.7413417	0.7507880	0.9109768	0.8662565	0.1809386	0.2927444
0.4465781	0.4796542	0.7606498	0.0337324	0.7035008	0.7040264	0.8291096	0.8047792	0.4256745	0.6209273
0.8025766	0.4993654	0.8303294	0.1008978	0.7139037	0.7380570	0.9604158	0.7098349	0.3595273	0.4604618
0.9135272	0.4949235	0.8251462	0.0321688	0.8452935	0.7576491	0.8058382	0.4932348	0.1921096	0.3283965
0.6214249	0.7023537	0.9360572	0.0861900	0.9078377	0.7564060	0.9873507	0.5427411	0.3379282	0.4750943
0.8565746	0.4846719	0.9402155	0.0283166	0.8357599	0.6654152	0.7270862	0.4684204	0.2844888	0.3410235
