"Time"	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W

0	0.7048542	0.3414533	0.3803734	0.0675431	0.2348191	0.6143821	0.2186647	0.3039134	0.1447555	0.7084388
50	0.6772651	0.6216571	0.4609897	0.6137523	0.2066080	0.5500397	0.1390149	0.2182296	0.1797545	0.7884504
100	0.6961583	0.5258753	0.5259866	0.7915765	0.1540311	0.6166512	0.0991660	0.4975374	0.1529424	0.7148225
150	0.6126909	0.3441559	0.5015626	0.8223824	0.1923991	0.5858862	0.1088129	0.7503302	0.1026775	0.7167270
200	0.6528197	0.3171138	0.5526580	0.6164870	0.2069427	0.5596104	0.0738965	0.5374805	0.1728747	0.6831319
250	0.7223085	0.3070341	0.4796584	0.6740887	0.1981743	0.5764628	0.0368487	0.6224200	0.1088348	0.6739831
300	0.6554801	0.2437216	0.4452564	0.5531719	0.2070317	0.4107500	0.0543934	0.6120566	0.1625400	0.6587448
350	0.6036821	0.1102815	0.6353297	0.6077913	0.2122402	0.3031537	0.0426155	0.7055314	0.1319002	0.5642196
400	0.2454466	0.0200631	0.6666751	0.6852621	0.3013771	0.3664104	0.0311378	0.6907479	0.0966754	0.6002432
450	0.1889343	0.0523160	0.6769699	0.8906947	0.2971355	0.3158856	0.0406203	0.6989815	0.1588757	0.7194557
500	0.0892080	0.0352726	0.5629132	0.7237854	0.1651928	0.1785302	0.0241320	0.7185057	0.1164378	0.8344190
550	0.0839957	0.0341409	0.5151898	0.2532507	0.1590147	0.2435044	0.0651753	0.5006824	0.1700855	0.7223351
600	0.0549822	0.0211566	0.6474857	0.1154182	0.2840178	0.2641911	0.0342780	0.4184621	0.1675375	0.7949930
650	0.0720578	0.0557851	0.6382378	0.2535459	0.2305332	0.2469294	0.0342084	0.3348166	0.1318579	0.5612018
700	0.0481785	0.0245824	0.6316432	0.2929134	0.3520675	0.3134386	0.0905856	0.3111161	0.1274954	0.7070828
750	0.0495262	0.0489298	0.6600618	0.1874616	0.2502672	0.3550577	0.0949055	0.2980833	0.1709193	0.7739253
800	0.0668288	0.0434121	0.6473282	0.1426904	0.2438773	0.3515547	0.1399155	0.3415960	0.1577969	0.7184002
850	0.0830672	0.0268718	0.6746360	0.1155587	0.2761669	0.3825299	0.1449397	0.2624999	0.1670801	0.7306551
900	0.0827176	0.0603487	0.6148203	0.0873350	0.1830498	0.4908077	0.1477239	0.2833577	0.1476990	0.6403260
950	0.0839884	0.1911769	0.2897131	0.0399038	0.2139883	0.4776779	0.1564507	0.2482820	0.1635018	0.6768055
1000	0.1436418	0.1376556	0.4670690	0.1393913	0.3839469	0.6571886	0.1882609	0.2437556	0.1190083	0.7408611

0	0.6373281	0.4616150	0.5406517	0.0634777	0.1732680	0.6603058	0.1635641	0.2730635	0.1413182	0.7630774
50	0.6276031	0.2947493	0.5162481	0.1256392	0.3179823	0.6126238	0.1506069	0.2994338	0.0898780	0.6715371
100	0.6078758	0.3629480	0.6575788	0.0871229	0.2571414	0.6204665	0.1584167	0.2671260	0.0109903	0.7615057
150	0.5509148	0.5090757	0.6984524	0.1434441	0.1237259	0.6447148	0.1193316	0.3080858	0.0045373	0.8364575
200	0.8268518	0.2854841	0.4656509	0.1142621	0.1534472	0.5493564	0.2456979	0.2576531	0.0003081	0.8356026
250	0.7156685	0.2661251	0.4036190	0.1004584	0.2314539	0.5649005	0.2014693	0.2507895	0.0001975	0.5757159
300	0.6823787	0.2914666	0.5340176	0.1071511	0.2652690	0.6265201	0.2295233	0.2418643	0.0013328	0.6327986
350	0.8211846	0.4024351	0.7002076	0.1245058	0.1819094	0.7182586	0.1520944	0.2540624	0.0000638	0.7481803
400	0.8759303	0.3317552	0.2803648	0.1358796	0.1530862	0.6696761	0.1480760	0.2460996	0.0000909	0.7036920
450	0.7224429	0.4643390	0.5332626	0.1367037	0.2359840	0.6121660	0.1560484	0.3522723	0.0013912	0.7655725
500	0.5817418	0.4033352	0.5905635	0.1298552	0.1655335	0.6877164	0.1739700	0.2572049	0.0003212	0.7919383
550	0.6800969	0.3012915	0.4469588	0.1014882	0.2119719	0.6370160	0.1568109	0.2427253	0.0836601	0.6711369
600	0.6796901	0.3393420	0.4775640	0.0943693	0.1723658	0.7094000	0.2088157	0.2326461	0.0794598	0.5938598
650	0.6170173	0.4136051	0.6365384	0.1355212	0.1644489	0.6141400	0.1844406	0.2670510	0.1690569	0.7298809
700	0.6104631	0.4272042	0.3528214	0.0242949	0.1789460	0.7100108	0.1782469	0.2264853	0.1136108	0.7608143
750	0.6093027	0.4298865	0.6217179	0.0969111	0.2458238	0.5799190	0.1152450	0.1864878	0.0963100	0.6613786
800	0.7191140	0.3640096	0.5110964	0.1307229	0.1843553	0.4895669	0.2085574	0.2335934	0.1539802	0.8217590
850	0.6528968	0.3797321	0.6326479	0.1610510	0.2525246	0.5798044	0.1467758	0.1821169	0.1623660	0.6204243
900	0.5982865	0.3501356	0.4842663	0.0900580	0.2236899	0.5576177	0.1970077	0.2074575	0.2196184	0.6968513
950	0.7183694	0.3276070	0.5095587	0.0703359	0.2626579	0.7425882	0.1991554	0.2467425	0.0987417	0.7232679
1000	0.8007269	0.3328087	0.6707397	0.1787620	0.2335670	0.5620811	0.2109731	0.2381605	0.1516005	0.7728989

0	0.7031937	0.3218725	0.4301595	0.0559656	0.2273669	0.6591826	0.1764322	0.2503869	0.1352818	0.6850418
50	0.7063721	0.5159668	0.6966295	0.2888300	0.0899746	0.6197236	0.1640262	0.2209492	0.1722472	0.5495042
100	0.8081775	0.5607799	0.7052958	0.2869139	0.0673006	0.6147408	0.1900410	0.1758293	0.2496655	0.4990112
150	0.7310251	0.4908682	0.6601134	0.3131183	0.0933176	0.5876259	0.1791406	0.1557831	0.1516433	0.4092018
200	0.7105241	0.5456046	0.6557119	0.2810647	0.1169706	0.6134797	0.1839202	0.2535430	0.2696437	0.5009812
250	0.6427158	0.5894126	0.6507148	0.2502584	0.1115856	0.5618113	0.1737049	0.2069749	0.1813216	0.4435522
300	0.7839856	0.6478328	0.7221457	0.3128198	0.1169129	0.5644029	0.1361920	0.2489871	0.2647295	0.4570089
350	0.7256985	0.5623579	0.5988412	0.2637023	0.1085079	0.5697640	0.2196412	0.2871585	0.2227722	0.5520772
400	0.7748720	0.6791700	0.6448774	0.3314124	0.1075485	0.5854907	0.2090046	0.2876059	0.1597530	0.5066505
450	0.7850153	0.5778413	0.7262739	0.2744327	0.1147404	0.6470047	0.1673605	0.2336852	0.2316294	0.4301287
500	0.8125553	0.6241762	0.7354420	0.2586119	0.1316697	0.6865231	0.2214904	0.1753023	0.2416880	0.5013599
550	0.8514332	0.4756482	0.2473351	0.0499288	0.1896079	0.6479857	0.1751709	0.2453647	0.1923084	0.6688135
600	0.6538428	0.2442904	0.5719365	0.1039731	0.4264479	0.6406492	0.1918147	0.2806987	0.1587242	0.6689482
650	0.7459785	0.3646536	0.5806682	0.1849294	0.3139497	0.5883219	0.1741049	0.2745268	0.1388320	0.7013875
700	0.6786879	0.4880099	0.5461206	0.0711932	0.1587877	0.6863291	0.1635553	0.2309544	0.1707732	0.6897366
750	0.6769701	0.5718063	0.3843310	0.0597763	0.1933971	0.7043840	0.1626862	0.3053975	0.1486994	0.7355606
800	0.8369228	0.3265756	0.4717069	0.0475284	0.3335413	0.6872010	0.1450022	0.2487441	0.1379599	0.6532531
850	0.6776134	0.3725604	0.5715718	0.1485492	0.1785232	0.5413025	0.1521020	0.1997915	0.2336998	0.7217860
900	0.6321604	0.3670827	0.3714492	0.0569294	0.1547981	0.4592998	0.1908286	0.2524651	0.1271241	0.7072388
950	0.6084853	0.3084691	0.3805653	0.0741204	0.2568305	0.5526655	0.1315431	0.2339358	0.1328873	0.6443765
1000	0.4873712	0.2670178	0.5885008	0.1085062	0.1828858	0.6910615	0.2322128	0.1739398	0.1003195	0.7827147

0	0.7326109	0.3792469	0.4356601	0.0547968	0.2392705	0.4858039	0.1390912	0.2770058	0.1648006	0.6651832
50	0.7595028	0.2333758	0.5660919	0.0844611	0.1792809	0.5928851	0.1495409	0.3050271	0.2201485	0.6336344
100	0.5301209	0.2510482	0.4855693	0.1306872	0.2186436	0.5450203	0.2453555	0.2604525	0.1748705	0.6632130
150	0.5425833	0.3189720	0.4459704	0.1469445	0.1690368	0.6714729	0.2419421	0.2908966	0.1034227	0.6525370
200	0.5607330	0.3034103	0.3958631	0.1025521	0.2551082	0.7192186	0.1481046	0.3783037	0.1612332	0.7704429
250	0.6425325	0.3039847	0.4758881	0.0405656	0.1842167	0.7260536	0.1011319	0.3410549	0.1354437	0.6761215
300	0.6358418	0.2832409	0.5161167	0.0807271	0.3334070	0.6384888	0.2094077	0.3852325	0.1073285	0.7778469
350	0.4959306	0.3435869	0.6362112	0.1407737	0.2197535	0.5583358	0.1578954	0.3267832	0.1226717	0.7072914
400	0.5680241	0.3571496	0.3313846	0.0990324	0.1860400	0.6431427	0.1622237	0.3465588	0.1150681	0.6840489
450	0.7382699	0.4349398	0.4048759	0.0831303	0.1436145	0.5795753	0.1891204	0.2178447	0.1341788	0.7062157
500	0.6808146	0.4058570	0.4632384	0.1165814	0.2339251	0.6420941	0.1567296	0.2762637	0.1277778	0.8365931
550	0.7027421	0.3429279	0.5175029	0.1239552	0.2723393	0.6240815	0.1651716	0.2297560	0.1638382	0.7652975
600	0.6966559	0.3544892	0.5385521	0.0941751	0.1404843	0.7596978	0.1555847	0.2367345	0.1893660	0.7609161
650	0.5461473	0.4365447	0.4423379	0.0766740	0.1968188	0.6858691	0.1431780	0.2262801	0.1137020	0.8037324
700	0.7046093	0.2958481	0.4568422	0.0714184	0.1277476	0.6947028	0.1962949	0.3308964	0.2094248	0.7422278
750	0.5597130	0.3767826	0.6354301	0.0902803	0.1959259	0.6473157	0.1563217	0.3214561	0.1336904	0.7875379
800	0.6407628	0.3629481	0.6248629	0.0914899	0.2276894	0.6075276	0.2227348	0.2664596	0.2013695	0.7741587
850	0.8696176	0.4278791	0.3108950	0.0978966	0.1795176	0.6669924	0.2057121	0.2667810	0.1418563	0.6278132
900	0.6850723	0.3106590	0.4732463	0.0583544	0.3052254	0.6973401	0.1789939	0.3154587	0.2200511	0.7849142
950	0.6615877	0.3161949	0.6173734	0.1351538	0.2088380	0.6038740	0.1696009	0.2321156	0.1459224	0.6329794
1000	0.6927526	0.4416266	0.5438821	0.1140818	0.2092782	0.6104375	0.1993148	0.2067704	0.1553360	0.7665132

0	0.6761663	0.3131769	0.4593248	0.0683466	0.1547584	0.5943049	0.1767500	0.2863802	0.1661991	0.7320966
50	0.6078834	0.3214962	0.5979300	0.1230574	0.3348753	0.5725523	0.1660204	0.2604456	0.0642813	0.7713710
100	0.5756770	0.2506019	0.7441042	0.2055156	0.2570796	0.6654937	0.2047942	0.2889368	0.0300551	0.7740818
150	0.7570049	0.3660535	0.6218802	0.1222614	0.1484758	0.6092381	0.1869103	0.2132546	0.0120569	0.6857715
200	0.5804522	0.2576741	0.3527112	0.0850700	0.1732894	0.5937541	0.1801520	0.3133142	0.0205620	0.6757658
250	0.6221916	0.3089916	0.3495246	0.0789429	0.2903296	0.5537538	0.1602584	0.2749612	0.0167673	0.8253308
300	0.6376398	0.3405142	0.5707157	0.1814964	0.2657749	0.6551269	0.1525689	0.2058883	0.0182550	0.8032555
350	0.6618189	0.3661607	0.6034616	0.1504532	0.2073841	0.6396782	0.1909747	0.2838567	0.0224475	0.8627522
400	0.5193514	0.3097448	0.4157866	0.0963280	0.1382666	0.6023351	0.2048944	0.3024596	0.0231601	0.6215990
450	0.5536234	0.3394469	0.3575514	0.0731236	0.2040567	0.6993558	0.1738229	0.2761444	0.0233251	0.6300315
500	0.6849552	0.4467819	0.5285227	0.1129482	0.1929514	0.7517570	0.2091928	0.3101071	0.0547142	0.7591180
550	0.6536079	0.4663307	0.5474456	0.0719481	0.2041369	0.4894020	0.1883607	0.2919199	0.1269487	0.7543955
600	0.6364784	0.3656817	0.3947267	0.0632380	0.1898683	0.5487369	0.1324321	0.3011381	0.1004409	0.7688314
650	0.5992600	0.2522196	0.4225027	0.0913875	0.3049421	0.5292927	0.1728668	0.2648918	0.1958575	0.6679165
700	0.5405388	0.3456924	0.5619291	0.1221890	0.2355380	0.5351057	0.1584800	0.2847145	0.1461424	0.6612168
750	0.7068500	0.3307925	0.5086041	0.1003498	0.2325735	0.5407712	0.1436661	0.2739959	0.1380068	0.5944649
800	0.5889584	0.2158699	0.4282799	0.0892495	0.2138813	0.6025970	0.1731271	0.2288666	0.1579339	0.7697276
850	0.5383684	0.3550888	0.4623232	0.1096928	0.2490179	0.6063015	0.2039021	0.2101212	0.1520131	0.6954652
900	0.7719504	0.2746635	0.6297814	0.0944657	0.1801114	0.7322084	0.1643421	0.2728711	0.0915740	0.8271347
950	0.7590128	0.4296840	0.5521356	0.0701687	0.2270446	0.5975184	0.1779927	0.2887714	0.1910262	0.7229721
1000	0.6796397	0.3740402	0.5461181	0.1201750	0.2343638	0.4877788	0.1349304	0.2522502	0.1673744	0.7729476

0	0.6990938	0.2812121	0.3955140	0.0729509	0.2402032	0.6208350	0.1909702	0.2284502	0.1114233	0.6190011
