YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
0.7750017	0.2480935	0.0909158	1.0877072	0.4495435	0.5968816	0.4234242	0.0093967	0.6922327	0.2357703
0.3773378	0.3928953	0.0702979	1.1710114	0.6071079	0.6569985	0.3872178	0.0158252	0.4523785	0.4281054
0.5901143	0.0186427	0.0249694	1.0293565	0.6508882	0.7668721	0.1815926	0.0266165	0.5231971	0.4283310
0.6832218	0.2253727	0.1018986	0.9509287	0.4208630	0.4179850	0.3988473	0.0018438	0.3394382	0.4910261
0.3424969	0.5096112	0.1790812	0.8805253	0.3992168	0.6028115	0.5127633	0.0375784	0.4867257	0.3981375
0.8321260	0.1492137	0.0895324	1.0903944	0.5244914	0.6229592	0.4043148	0.0259429	0.5723697	0.3794034
0.4906737	0.5096138	0.1393528	0.9378337	0.4194425	0.5856281	0.5143982	0.0008626	0.3558725	0.4449982
0.8966938	0.0013578	0.0022404	1.0088623	0.4811125	0.6024274	0.5178447	0.0200161	0.6856957	0.2616109
0.7603251	0.4221868	0.1712144	1.0236420	0.4052503	0.6228856	0.3882386	0.0339621	0.4569548	0.3687598
0.2584378	0.8352529	0.3513237	0.7080972	0.4828410	0.3352569	0.4664189	0.0426875	0.9601837	0.1083878
