YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.0000000	0.9997146	0.9307820	0.1263406	1.0000000	1.0000000	0.9920269	1.0000000	1.0000000	1.0000000
0.0370975	0.0000000	0.0719918	0.1263406	1.0000000	1.0000000	0.9920269	1.0000000	1.0000000	1.0000000
0.0373597	0.0524346	0.0000000	0.1263406	1.0000000	1.0000000	0.9920269	1.0000000	1.0000000	1.0000000
0.0423386	0.1607042	0.0719901	0.0000000	1.0000000	1.0000000	0.9920269	1.0000000	1.0000000	1.0000000
0.3661048	0.9997850	0.9997333	0.9998603	0.0000000	1.0000000	0.9920269	1.0000000	1.0000000	1.0000000
0.0370976	0.9997146	0.9307820	0.1263406	1.0000000	0.0000001	0.9920269	1.0000000	1.0000000	1.0000000
0.3660762	0.9997146	0.9307820	0.1263406	1.0000000	1.0000000	0.0000000	1.0000000	1.0000000	1.0000000
0.3660762	0.9997146	0.9307820	0.1263406	1.0000000	1.0000000	0.0175516	0.0000003	1.0000000	1.0000000
0.3660762	0.9997146	0.9307820	0.1263406	1.0000000	1.0000000	0.9920269	1.0000000	0.0000000	1.0000000
0.3660762	0.9997146	0.9307820	0.1263406	1.0000000	1.0000000	0.9920269	1.0000000	1.0000000	0.0000000
