YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.4767122	0.8104771	0.1423883	0.1152524	0.1462580	0.2971327	1.1329714	0.9994541	0.1965377	1.0782967
0.8577748	0.4159760	0.1127137	0.0960030	0.1376782	0.2456752	1.1204050	1.0242971	0.1899244	1.0588908
0.9611517	0.9990343	0.0583561	0.0972187	0.1322190	0.2349273	1.0724117	0.9630892	0.2112431	1.0613055
1.0395969	0.7396111	0.1568081	0.0401720	0.1468121	0.2149821	1.0021199	0.9672683	0.2265549	0.9374492
1.0617622	1.0295014	0.0761565	0.0938862	0.0733387	0.2123711	1.0905390	0.9839261	0.1882826	1.0648138
0.8803806	0.9480480	0.1025074	0.0942678	0.1081242	0.1189134	1.1320597	0.9852094	0.2556003	1.0450858
0.7972345	0.4220460	0.3675524	0.1978552	0.3775924	0.7579148	0.5251213	0.9319987	0.2222359	1.0361492
0.9117136	0.8589420	0.1555079	0.1110409	0.0997032	0.2893688	1.1640342	0.4758371	0.2617018	1.0460670
1.0316846	0.9103324	0.1061228	0.0901189	0.1192370	0.2597038	1.0377868	0.9675149	0.1324841	1.0238321
0.9254296	0.9163886	0.0480481	0.1346663	0.1270266	0.2634691	0.9681981	0.8166314	0.3620876	0.5857650
