YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.0991536	0.1632879	0.6858181	0.5943869	0.5691323	0.4167011	0.1806016	0.0191441	0.6113585	0.4000981
0.0920372	0.1939968	0.4536773	0.3133685	0.5317730	0.6649821	0.4006555	0.0252170	0.4006138	0.4589435
0.0423169	0.1228021	0.7561384	0.2609976	0.6856137	0.4281731	0.2294703	0.0036715	0.5439797	0.2452304
0.1185519	0.1892121	0.7551615	0.5413505	0.3620321	0.4822925	0.2147788	0.0111313	0.7819974	0.4027637
0.0603146	0.2917979	0.5301731	0.2781639	0.5104123	0.5956290	0.8985643	0.2634802	0.1783396	0.5302214
0.0141587	0.2195544	0.7365706	0.4299617	0.6165386	0.5551215	0.1655429	0.0040906	0.7354650	0.3726357
0.0281254	0.1481586	0.6390204	0.4291245	0.5235644	0.5595892	0.4388788	0.0290153	0.5168962	0.3595077
0.0084002	0.1493381	0.5855661	0.4347447	0.5962895	0.2537871	0.1340478	0.0077346	0.8133432	0.4102359
0.0918738	0.5567622	0.0564938	0.1154426	0.1707023	0.6893934	0.4708759	0.0631434	0.1861886	0.2391080
0.1247961	0.1198198	0.7717114	0.6337991	0.5345177	0.2343864	0.0861595	0.0170993	0.7760523	0.3043258
