YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.3041825	0.1813262	0.2009346	0.7644864	0.8615873	0.3537883	0.6857097	0.6095053	0.7969333	0.7241314
0.5651048	0.1941694	0.2151794	0.7764094	0.7973339	0.3308740	0.7513244	0.6428814	0.7379531	0.7888058
0.6614027	0.2012656	0.0994953	0.8033619	0.7258470	0.3430947	0.5549902	0.6974605	0.9195505	0.7126321
0.6823437	0.3233387	0.2980528	0.3478043	0.7482465	0.4116914	0.6856261	0.6671866	0.8592171	0.8006220
0.6857456	0.5047999	0.1767064	0.8660823	0.3711230	0.3899846	0.8223181	0.6666053	0.6715781	0.7320811
0.5223366	0.4351348	0.1868663	0.7354438	0.6359585	0.2141313	0.7366534	0.7045533	0.7401185	0.7768659
0.6001367	0.5077134	0.1828059	0.6176447	0.6944319	0.3102269	0.4003081	0.5373092	0.7492920	0.7966396
0.5368460	0.3496233	0.2174788	0.7850358	0.6912820	0.4572888	0.8669778	0.3414267	0.6879185	0.7155449
0.6200913	0.4279634	0.2067659	0.7374306	0.8400024	0.4799500	0.8643179	0.7281887	0.3200483	0.8346730
0.5614057	0.4015331	0.1990817	0.6172456	0.7326763	0.4328935	0.6783728	0.7720112	0.8023834	0.3987588
