YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.0000000	0.5400835	0.8152965	0.7411277	0.1331245	0.0653433	0.2552646	1.0000000	0.4950394	1.0000000
0.0266589	0.0000000	0.7432645	0.4593203	0.1244719	0.0612373	0.2553046	0.9999247	0.4840290	1.0000000
0.0266589	0.0052371	0.0000001	0.4669231	0.0525914	0.0082504	0.2553050	0.9999244	0.4191219	1.0000000
0.9881567	0.4865640	0.6950372	0.0000012	0.2684367	0.1203011	0.3211097	0.8944255	0.6829563	1.0000000
0.9936951	0.5378842	0.8098405	0.7501102	0.0000005	0.1375944	0.3215258	0.8938458	0.4075030	1.0000000
0.9936518	0.5375310	0.8092110	0.7483291	0.0507007	0.0000000	0.3215197	0.8938532	0.4182197	1.0000000
0.9936589	0.5375648	0.8092359	0.7482913	0.0525976	0.0082504	0.0000000	0.8938517	0.4191626	1.0000000
0.0278316	0.0853141	0.1207674	0.4758714	0.0538623	0.0108880	1.0000000	0.0000000	0.4197673	1.0000000
0.9932316	0.5316056	0.7945738	0.6940191	0.3085526	0.1357883	0.3214977	0.8938884	0.0000004	1.0000000
0.9735682	0.4282303	0.5839614	0.4571290	0.8016541	0.4699642	0.7395270	0.5127730	0.6201303	0.0000000
