YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.1254284	0.9710505	0.7120328	0.2045203	0.4147286	0.6561520	0.5168361	0.8618211	0.4314493	0.9986226
0.2686933	0.5767692	0.7750356	0.1785503	0.3757651	0.6710893	0.5009139	0.9022349	0.4135755	0.9695412
0.5442508	1.1113260	0.3894750	0.2480947	0.3273115	0.6376459	0.5255009	0.7887436	0.4089192	0.9312226
0.3917688	0.9222096	0.4911161	0.1279060	0.3996063	0.5028166	0.5386657	0.8936475	0.3770432	0.9832557
0.2424110	0.9866408	0.8379017	0.6558213	0.1902043	0.6594367	0.5458137	0.9442783	0.4576741	0.9645357
0.3760793	1.0002804	0.8632321	0.7412889	0.1846225	0.3875270	0.6245172	0.5655592	0.2511322	1.0063070
0.3879237	1.0066008	0.9216877	0.8112484	0.1897383	0.4154199	0.3767363	0.5350773	0.2573490	1.0778573
0.2527533	1.0538639	0.5996118	0.1253648	0.4382702	0.7639795	0.7142729	0.4844091	0.5097738	1.0139479
0.4888916	1.0674458	0.6465891	0.1533770	0.5347561	0.7756305	0.5717112	0.6993953	0.2923465	0.9971557
0.2244978	0.9218527	0.7716151	0.2976453	0.3307338	0.5636308	0.4912290	0.9460458	0.4314149	0.5220610
