YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.0206278	0.1649686	0.5695771	0.4065071	0.4586716	0.6100070	0.2333520	0.7587187	0.0736128	0.7046588
0.0191075	0.1791464	0.6302447	0.3507435	0.4828640	0.5817389	0.2730395	0.4748908	0.0732659	0.6235942
0.4161927	0.4384072	0.3493599	0.3099478	0.4625961	0.5301995	0.2352263	0.6299921	0.0454464	0.7065675
0.0825780	0.2878141	0.7160090	0.2280151	0.5154547	0.6030134	0.2595129	0.5729068	0.0644312	1.0000000
0.0445876	0.1872012	0.8013373	0.1968798	0.2679321	0.4897072	0.2927958	0.6289869	0.0811598	0.6356735
0.0400320	0.2037943	0.8501885	0.5105856	0.6912957	0.2691435	0.2517337	0.5973125	0.0935284	0.7892277
0.0480034	0.2724830	0.7322151	0.3822189	0.4061259	0.5676814	0.1285778	0.6421427	0.0943334	0.7508636
0.0923619	0.3100750	0.5372039	0.5004707	0.4777661	0.5317782	0.4283021	0.3726618	0.2152365	0.7019601
0.0511118	0.1780360	0.7592099	0.4638116	0.5428506	0.5323129	0.3688171	0.7451872	0.0575295	0.7818285
0.0685439	0.2814066	0.6885445	0.3310233	0.4590556	0.5765981	0.2758155	0.6105757	0.1098400	0.2818907
