"Time"	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C

0	0.0669172	0.0970255	0.2361992	0.1780941	0.4073652	0.5178981	0.4314793	0.8341772	0.2459159	0.7122639
50	0.0823464	0.0477187	0.2224587	0.1342757	0.2718584	0.5995874	0.5446599	0.7363775	0.2627670	0.7565199
100	0.1673577	0.0810011	0.2411077	0.0588204	0.3289031	0.5693365	0.5206088	0.8169773	0.2280356	0.7279385
150	0.0679355	0.0743368	0.2977190	0.0318556	0.3474317	0.6593108	0.4584682	0.8669560	0.2481052	0.5829508
200	0.0614902	0.1350496	0.3770905	0.0107996	0.5199034	0.4559131	0.4474855	0.5910446	0.3610151	0.6924909
250	0.1092513	0.2628830	0.3905489	0.0049995	0.2994682	0.4637750	0.4820558	0.7913712	0.2378095	0.6583249
300	0.2353479	0.2520029	0.4079377	0.0029045	0.2449445	0.4296837	0.3661356	0.7633322	0.2175844	0.8340510
350	0.3498260	0.3382006	0.5654020	0.0030181	0.1513275	0.4560813	0.5530636	0.6134963	0.1606247	0.8784622
400	0.3751381	0.3710784	0.4782477	0.0024296	0.1394663	0.4278341	0.3844770	0.7031464	0.1606671	0.7912810
450	0.4952525	0.4918733	0.3898070	0.0014002	0.1122632	0.5175556	0.4689129	0.7276515	0.1315554	0.8125687
500	0.5452904	0.3963216	0.4708237	0.0072963	0.2514031	0.4774905	0.5213951	0.7439592	0.1476976	0.7630450
550	0.6390836	0.4517511	0.4145941	0.1835348	0.1056512	0.4599868	0.3165249	0.8359479	0.1387728	0.9047359
600	0.6536938	0.3191554	0.3740241	0.3964603	0.1450372	0.4268786	0.3987525	0.6979866	0.1692039	0.8226217
650	0.6084321	0.2873755	0.2756539	0.5413144	0.2048857	0.4612962	0.4952334	0.7591311	0.1615644	0.8386648
700	0.3568644	0.2024959	0.2085027	0.4783309	0.1371448	0.3641900	0.4491528	0.7182775	0.1774325	0.7055521
750	0.2251413	0.0838388	0.1231548	0.4511203	0.1805147	0.3301231	0.5550497	0.7693502	0.1589201	0.8345185
800	0.1148828	0.0735931	0.1061018	0.4804780	0.1750320	0.5730538	0.5356971	0.9933175	0.1910221	0.9942011
850	0.0944954	0.0967390	0.0868901	0.3809314	0.3383968	0.5591042	0.5107068	1.1082255	0.1230225	0.6919552
900	0.0641285	0.0241289	0.1173221	0.4113576	0.3596823	0.6473879	0.4455689	0.6218225	0.2173876	0.7150957
950	0.0763120	0.0616425	0.0945193	0.1628019	0.4359874	0.4813460	0.4293680	0.7418943	0.1873932	0.6952667
1000	0.0531231	0.0528469	0.1949728	0.1918718	0.6212383	0.3247409	0.3591744	0.6574225	0.3089942	0.7518067

0	0.1092430	0.0599770	0.2552342	0.1693666	0.3941689	0.5665626	0.5960878	0.8020570	0.2712853	0.7050951
50	0.1107561	0.2033579	0.2280892	0.2774976	0.2761094	0.4826959	0.4728716	0.7040278	0.2384746	0.7513873
100	0.3113340	0.3961333	0.3526167	0.1329485	0.1825965	0.4066133	0.5289646	0.6984132	0.2618928	0.7295621
150	0.4851550	0.4231731	0.2931123	0.0899477	0.1906575	0.3912961	0.6800261	0.7816002	0.1886270	0.7652142
200	0.4965643	0.4911168	0.4886578	0.0733545	0.1360479	0.4946245	0.4855706	0.6915624	0.2406749	0.7668860
250	0.4110369	0.5169515	0.4850694	0.0622370	0.1007148	0.4892825	0.5888390	0.8101502	0.2173315	0.7892194
300	0.5886138	0.6609878	0.4981549	0.0652563	0.1041035	0.4826288	0.5930548	0.8652485	0.1549435	0.6128340
350	0.7154772	0.7052675	0.5463356	0.1157997	0.1075152	0.4030879	0.5346597	0.8003556	0.2283064	0.6495132
400	0.6831859	0.6574472	0.5492279	0.0761808	0.1608917	0.4438074	0.4813779	0.8282123	0.1979556	0.6413368
450	0.6379548	0.5932083	0.4648571	0.1193913	0.1349403	0.5098967	0.4305804	0.8127909	0.2952999	0.7110082
500	0.6243541	0.6804778	0.5283579	0.0856958	0.1392878	0.5495522	0.4594009	0.8643623	0.2139565	0.7188126
550	0.6385886	0.6544326	0.4278565	0.1876097	0.1747649	0.5406480	0.4194772	0.8814767	0.1832961	0.7566665
600	0.7255832	0.5852254	0.2909437	0.4281911	0.1311181	0.4923185	0.4914005	0.7788643	0.2055778	0.7366290
650	0.6346213	0.3561177	0.2498805	0.6115178	0.1016972	0.5923126	0.4994927	0.8039129	0.1584316	0.6373067
700	0.3888889	0.1941715	0.2007311	0.6696456	0.1215546	0.6007842	0.4487923	0.7461803	0.1427907	0.7426064
750	0.2183151	0.1186791	0.1341423	0.6593537	0.1640858	0.5977071	0.6135079	0.8278089	0.1465719	0.7013612
800	0.1087828	0.0633531	0.0690021	0.5687914	0.2480701	0.5941117	0.5737292	0.8078291	0.1526589	0.8644209
850	0.0770057	0.0321234	0.0747014	0.4161784	0.3277100	0.5393114	0.6045804	0.7388163	0.1758317	0.8666354
900	0.0792322	0.0159104	0.0701267	0.2945119	0.4324494	0.6209607	0.5388352	0.8967903	0.1394143	0.9137863
950	0.0281309	0.0261583	0.1428788	0.3496255	0.4339584	0.6429409	0.5133008	0.7634375	0.1464219	0.9230062
1000	0.0670645	0.0437926	0.1655391	0.2020534	0.4463311	0.5281208	0.5361134	0.8271553	0.1574030	0.7145990

0	0.0490366	0.0417806	0.2547091	0.1853522	0.5226513	0.5005309	0.4395621	0.7334419	0.1798107	0.6492830
50	0.0829808	0.1143966	0.2887716	0.2158859	0.2325626	0.5254500	0.5321059	0.8946798	0.1990774	0.8370622
100	0.1720942	0.2066712	0.2002093	0.3258470	0.2089910	0.5836964	0.5524234	0.8149491	0.2169893	0.5926562
150	0.2209335	0.2868024	0.1640026	0.4034373	0.2138685	0.5695457	0.6042042	0.6886629	0.1943846	0.5616708
200	0.2426160	0.2280821	0.1523654	0.4215680	0.1781302	0.6820986	0.5876270	0.7730161	0.2173669	0.4705107
250	0.1963874	0.2255047	0.1261682	0.3688329	0.2091384	0.6095654	0.4863231	0.8198842	0.2478670	0.4885793
300	0.2118876	0.2553431	0.1402193	0.4396694	0.1311519	0.6935318	0.4935081	0.6748492	0.2971427	0.5197310
350	0.1886437	0.1825080	0.0878740	0.5331575	0.1697392	0.6176996	0.4849711	0.8214429	0.2771680	0.5125845
400	0.2271833	0.1769677	0.1014382	0.5476306	0.1182840	0.7508342	0.4776379	0.8900592	0.2823813	0.6177596
450	0.1353856	0.2191572	0.0749090	0.6460780	0.0765717	0.7992267	0.4703715	0.8669191	0.2686013	0.5042363
500	0.1517906	0.1869420	0.0732137	0.5661722	0.1511671	0.7918267	0.5818836	0.8109661	0.2769829	0.5167816
550	0.1307287	0.1639417	0.0534616	0.5652776	0.1073794	0.6858622	0.5175399	0.8859186	0.2002249	0.6379195
600	0.0823444	0.1049490	0.0687423	0.5856892	0.1519282	0.5711604	0.4494770	0.7110670	0.1921761	0.6779952
650	0.0762536	0.0549134	0.0513991	0.5957699	0.2610869	0.5489944	0.5717131	0.8702502	0.2266822	0.9328040
700	0.0785376	0.0069155	0.0799336	0.2940717	0.3207473	0.4468607	0.3901029	0.8579772	0.1791595	0.7979486
750	0.0690933	0.0107415	0.0779151	0.2958502	0.4196680	0.4255788	0.5185176	0.6798260	0.2836778	1.0070873
800	0.0760396	0.0030897	0.1229497	0.2481537	0.5206467	0.5536816	0.4285584	0.6688047	0.1743791	1.1506321
850	0.1047204	0.0007823	0.1077836	0.2484117	0.4383315	0.4353780	0.4590671	0.7096597	0.1804604	0.7952226
900	0.0641468	0.0394002	0.2411689	0.1837421	0.5079518	0.5188975	0.4171505	0.8201759	0.2138123	0.7047620
950	0.0656765	0.0305704	0.2179456	0.1558336	0.5324920	0.5127289	0.4865219	0.7180132	0.2122566	0.9433594
1000	0.0803543	0.0664394	0.2703497	0.2218607	0.5108696	0.6729176	0.4863837	0.6557792	0.2351762	0.7679079

0	0.0863975	0.0450157	0.2536113	0.1614080	0.3076878	0.6216709	0.5331933	0.6924685	0.3229475	0.6907338
50	0.4652791	0.1057756	0.2387821	0.1896598	0.4559496	0.4975959	0.5548292	0.8570896	0.2408879	0.7615280
100	0.7613281	0.0391075	0.2416206	0.2644331	0.3729060	0.5202964	0.5616946	0.7076779	0.1855683	0.8727776
150	0.7621834	0.0617369	0.2311128	0.1894114	0.3553327	0.5527141	0.4185998	0.7302941	0.3225177	0.8200111
200	0.7147713	0.0618868	0.1827200	0.1561751	0.3133606	0.4442031	0.3873477	0.6796468	0.2434680	0.7836050
250	0.7279718	0.0796867	0.1717348	0.1707023	0.4687487	0.4497903	0.4755801	0.6035116	0.2493551	0.8005439
300	0.6590519	0.0829270	0.3340842	0.1344429	0.4395121	0.4276322	0.3873117	0.5923029	0.2625137	0.7076938
350	0.5391623	0.0777442	0.2834125	0.2425318	0.3772143	0.3698633	0.2921479	0.5357729	0.2651386	0.6324760
400	0.6150013	0.0943577	0.2264863	0.1599618	0.3622062	0.4298375	0.3782221	0.6378582	0.2597655	0.7037143
450	0.6706449	0.0617702	0.2823050	0.1389293	0.4296865	0.3506907	0.4478334	0.5468504	0.3179652	0.8148105
500	0.6707451	0.0784565	0.4181415	0.2607550	0.3349832	0.3541829	0.3360298	0.5499599	0.2743815	0.6922723
550	0.4847305	0.0985568	0.2775522	0.3214472	0.3870211	0.3413869	0.5038428	0.6757953	0.2109215	0.7914054
600	0.1200963	0.0582792	0.2046772	0.2552009	0.3916241	0.3113122	0.3637538	0.8274755	0.2269506	0.6664906
650	0.0703123	0.1061939	0.2271562	0.1643985	0.4562274	0.3013344	0.4153748	0.7525704	0.2774710	0.7396367
700	0.0412816	0.0394349	0.2497871	0.1796675	0.4331919	0.4487060	0.4955226	0.9509110	0.2745912	0.7348406
750	0.0479576	0.0623349	0.2732198	0.1652051	0.4567591	0.5048566	0.3906742	0.6869600	0.2107121	0.6394229
800	0.0667381	0.0578786	0.2402747	0.2214224	0.4236529	0.5905420	0.4434773	0.7915949	0.3185463	0.7065400
850	0.1149292	0.0948963	0.2270002	0.1934705	0.3817534	0.4179108	0.4412193	0.9688119	0.3012371	0.5958428
900	0.0896424	0.0521040	0.2499592	0.1857869	0.4720238	0.5021468	0.5634467	0.9170124	0.2918318	0.7947491
950	0.0602976	0.1063967	0.2416441	0.2266893	0.2978854	0.7229820	0.5079435	0.8566688	0.2851386	0.9550100
1000	0.0986414	0.1016565	0.2427705	0.2111628	0.3264795	0.7239042	0.5537276	0.8768801	0.2389684	0.7427789

0	0.0721426	0.0554615	0.2723828	0.1631452	0.3886423	0.5022476	0.6215547	0.8691850	0.3217422	0.7094085
50	0.2893402	0.0672777	0.2429376	0.1337519	0.3594462	0.4510419	0.5519944	0.5699730	0.2822196	0.7560512
