YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.0644611	0.1897706	0.6729743	0.4127956	0.4973922	0.3442920	0.2504143	0.0280482	0.7268880	0.3265671
0.1021603	0.1864764	0.6345919	0.3293416	0.3049070	0.6054923	0.4212649	0.0408129	0.3387830	0.4825092
0.0610026	0.3057207	0.2357154	0.2898604	0.4311914	0.8128787	0.4761120	0.0327332	0.5227165	0.4557708
0.0815270	0.1902112	0.1630067	0.1472865	0.4406538	0.7908530	0.7682835	0.2581581	0.1228333	0.4730295
0.0711406	0.4764397	0.1711766	0.1652519	0.2956699	0.6425412	0.7939728	0.3714152	0.1940756	0.6072468
0.0745094	0.2291682	0.7815991	0.3934889	0.6088110	0.4352357	0.2745948	0.0334949	0.5184035	0.4307507
0.1026245	0.1586889	0.6833329	0.4502068	0.6082094	0.3234901	0.1302905	0.0294841	0.6007085	0.4476461
0.1073110	0.1839993	0.5730565	0.3682419	0.4014294	0.6276602	0.2993231	0.0107423	0.5188194	0.4613553
0.0878899	0.2490520	0.5656691	0.4741583	0.5173201	0.8892847	0.6274391	0.0397148	0.2095071	0.3612231
0.0462065	0.2197842	0.8011327	0.3651843	0.4473448	0.6262370	0.3275156	0.0269641	0.5311788	0.1844174
