YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.0000000	0.4987946	0.7524421	0.0258505	0.0462586	0.8585806	0.7994431	0.0254796	0.2103931	0.0928341
0.8076868	0.0000000	0.9118488	0.0568292	0.4390536	0.3727026	0.8187022	0.0254040	0.4459135	0.5351202
0.6847688	0.0037071	0.0000000	0.3476573	0.7589411	0.1854043	0.7311781	0.0520475	0.4101422	0.7165062
0.0730974	0.4255614	0.8001290	0.0005218	0.0722825	0.6193562	0.7506567	0.0271610	0.2276488	0.1311933
0.0937545	0.5094292	0.8146377	0.0315745	0.0000000	0.5636579	0.8235442	0.0305668	0.1427819	0.0780238
0.6411008	0.3180797	0.5788743	0.4542107	0.7988722	0.0000000	0.5650850	0.0437515	0.3631395	0.3120404
0.0981479	0.5082994	0.8778563	0.0490992	0.0322921	0.8246507	0.0000000	0.0250010	0.3341751	0.0322822
0.1717666	0.5342488	0.8474470	0.0505522	0.1105583	0.5735903	0.6395070	0.0000000	0.2536993	0.1195937
0.0790019	0.5563925	0.7808687	0.0316276	0.1154514	0.7347887	0.8136614	0.8004363	0.0000000	0.1226505
0.1302624	0.5096404	0.8631709	0.0346535	0.0540572	0.7733010	0.7510546	0.0533689	0.2379202	0.0000000
