YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.0000000	0.9620432	0.0371657	0.9938698	0.8163941	0.8278064	0.7319245	1.0215076	0.8029829	1.0220471
0.9449642	0.0000000	0.0363668	1.0421807	0.8639160	0.7772186	0.7553536	1.0847156	0.6863574	0.9934760
0.0811776	0.9766538	0.0000000	0.9034013	0.8874531	0.8045146	0.8083986	1.0167086	0.7470859	1.0463347
1.0315479	0.0617328	1.0097521	0.0000000	0.3471457	0.8014578	0.7327286	1.0607701	0.0882680	1.0082916
1.0411633	0.0709376	1.0007263	0.0279353	0.0000000	0.8541282	0.7988645	1.0568171	0.0865186	1.0678120
0.0837228	0.9254948	0.0355129	0.9666514	0.9793613	0.0000000	0.7269469	1.0050884	0.7804749	0.9609688
0.0988861	0.9296147	0.0518694	1.0246639	1.0240722	0.0641603	0.0000000	1.1057982	0.7686409	1.1069134
0.0933690	0.8862681	0.0345547	0.9610223	0.9683459	0.1361193	0.0162107	0.0000000	0.8310999	0.9806598
0.0882860	0.9954355	0.0603010	1.0237918	1.0014478	0.7661378	0.7658363	0.9227851	0.0000000	1.0506943
0.0839056	0.9531724	0.0363832	0.9258682	0.8469759	0.7527556	0.7829149	1.0703036	0.7331247	0.0000000
