"Time"	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W

0	0.6121543	0.8992070	0.5625547	0.7997929	0.5260891	0.8075307	0.9547815	0.0538505	0.1882806	1.0000000
50	0.6070647	0.9335563	0.3586543	0.7933055	0.3726321	0.6745328	0.3200511	0.0538505	0.1882806	1.0000000
100	0.5957378	0.9213849	0.2862502	0.7067931	0.1420257	0.5223110	0.1255749	0.0538505	0.1882806	1.0000000
150	0.5956920	0.8838964	0.2755340	0.4755591	0.0547696	0.3708166	0.0659890	0.0538505	0.1882806	1.0000000
200	0.6117405	0.8534426	0.3101050	0.2369188	0.0287901	0.2683762	0.0477324	0.0538505	0.1882806	1.0000000
250	0.6330431	0.8493717	0.3653870	0.1021966	0.0213004	0.2149892	0.0421388	0.0538505	0.1882806	1.0000000
300	0.6455970	0.8672035	0.4091206	0.0438319	0.0191529	0.1888761	0.0404249	0.0538505	0.1882806	1.0000000
350	0.6440153	0.8904764	0.4329346	0.0208874	0.0185379	0.1736230	0.0398998	0.0538505	0.1882806	1.0000000
400	0.6323934	0.9090223	0.4436299	0.0121961	0.0183617	0.1627358	0.0397389	0.0538505	0.1882806	1.0000000
450	0.6175851	0.9210190	0.4480055	0.0089603	0.0183113	0.1546768	0.0396896	0.0538505	0.1882806	1.0000000
500	0.6042757	0.9279574	0.4497199	0.0077686	0.0182968	0.1490114	0.0396745	0.0538505	0.1882806	1.0000000
550	0.6028297	0.8907247	0.7979133	0.0076387	0.0404844	0.3626737	0.6744003	0.0538505	0.1882806	1.0000000
600	0.6065041	0.9275329	0.9257090	0.0372051	0.2118280	0.5790577	0.8688750	0.0538505	0.1882806	1.0000000
650	0.5955110	0.9560603	0.9694680	0.2316222	0.3798476	0.6987939	0.9284605	0.0538505	0.1882806	1.0000000
700	0.5772779	0.9712543	0.9506290	0.4806474	0.4671898	0.7570800	0.9467170	0.0538505	0.1882806	1.0000000
750	0.5607550	0.9775389	0.8636767	0.6429767	0.5040521	0.7840601	0.9523106	0.0538505	0.1882806	1.0000000
800	0.5495177	0.9772942	0.7589861	0.7275143	0.5182029	0.7962202	0.9540245	0.0538505	0.1882806	1.0000000
850	0.5441807	0.9712913	0.6770435	0.7677652	0.5233501	0.8016376	0.9545496	0.0538505	0.1882806	1.0000000
900	0.5444925	0.9603128	0.6245798	0.7860199	0.5251580	0.8040810	0.9547104	0.0538505	0.1882806	1.0000000
950	0.5498462	0.9463952	0.5944702	0.7940186	0.5257777	0.8052583	0.9547597	0.0538505	0.1882806	1.0000000
1000	0.5590114	0.9324513	0.5783424	0.7974256	0.5259862	0.8059174	0.9547748	0.0538505	0.1882806	1.0000000

0	0.6121543	0.8992070	0.5625547	0.7997929	0.5260891	0.8075307	0.9547815	0.0538505	0.1882806	1.0000000
50	0.5464336	0.9168612	0.4580893	0.7962040	0.4371635	0.7927320	0.5881949	0.0536467	0.1559808	0.9364482
