YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.2080919	0.7545481	0.5295728	0.4615562	0.2965097	0.6004185	0.7827284	0.0369980	0.1229592	0.8791438
0.8195605	0.4453452	0.4261038	0.7294905	0.3736743	0.6574936	0.8162301	0.0375795	0.1978227	0.6915618
0.7521142	0.4211607	0.1450233	0.6103431	0.3947793	0.6382503	0.7566520	0.0313558	0.2072173	0.8005791
0.3980947	0.7805328	0.7066253	0.4430930	0.5857042	0.7215275	0.8017767	0.0380443	0.2183505	0.7504877
0.4438369	0.8227419	0.5660394	0.4413303	0.2840673	0.8256367	0.7160559	0.0366725	0.1327468	0.8180671
0.7117496	0.6983774	0.4307909	0.6542114	0.5020258	0.3581855	0.8831159	0.0282487	0.1548691	0.7844131
0.5747337	0.6952730	0.7262009	0.1873883	0.1383975	0.5688769	0.4265818	0.0640016	0.2161086	0.7458759
0.5007805	0.6508807	0.4710640	0.5880827	0.4302340	0.6217295	0.7367577	0.0411815	0.1529445	0.7886274
0.4703153	0.8525039	0.4980844	0.7170825	0.4267080	0.7472984	0.7494890	0.0238552	0.0852601	0.8937290
0.5129475	0.7093648	0.5216888	0.2919177	0.1835148	0.6250473	0.5810434	0.1251640	0.3949085	0.4415333
