"Time"	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W

0	0.0193652	0.4880220	0.4792689	0.7560028	0.7078988	0.4579291	0.4107064	0.6678500	0.4494969	0.3546634
50	0.0354807	0.5542506	0.3979520	0.7912754	0.6862288	0.4311313	0.3399805	0.6692469	0.3955393	0.4265129
100	0.0387561	0.5991820	0.3100133	0.7681410	0.8453133	0.4578198	0.3951735	0.6474066	0.4865164	0.3582000
150	0.0176468	0.5863925	0.3729737	0.7173725	0.6952073	0.5690486	0.3804706	0.6814072	0.4723336	0.3861992
200	0.0244388	0.5118530	0.3381993	0.6560469	0.8364859	0.4910078	0.3248652	0.5410177	0.4524901	0.3102124
250	0.0049036	0.5967840	0.3618851	0.6699834	0.7347689	0.4840018	0.3582627	0.6004126	0.3664665	0.3097933
300	0.0374387	0.4412239	0.3563932	0.8009451	0.8156172	0.5381920	0.3070143	0.8030219	0.3983574	0.2248920
350	0.0124725	0.5427771	0.3825850	0.7362531	0.7550170	0.4496674	0.3110489	0.6566172	0.4785307	0.3387815
400	0.0168311	0.5313347	0.3495237	0.8588185	0.7406239	0.5304859	0.4392568	0.7898164	0.5250248	0.3730542
450	0.0035325	0.5934743	0.3085722	0.8136939	0.7324154	0.5084349	0.3103540	0.5786951	0.4216389	0.3563476
500	0.0160860	0.5020306	0.3699662	0.8127676	0.6687263	0.5304037	0.3285131	0.6435129	0.3809141	0.3520608
550	0.0129015	0.5742141	0.4364166	0.7169156	0.7504810	0.5277561	0.3730200	0.6767832	0.3420712	0.3504008
600	0.0181616	0.5839188	0.5137029	0.7884732	0.7948652	0.3955814	0.4260298	0.5851029	0.3025520	0.2599030
650	0.0287574	0.4775461	0.3518278	0.8145748	0.9496363	0.4908266	0.4017429	0.6542297	0.3749044	0.3290116
700	0.0250113	0.4662827	0.3731951	0.8284490	0.7303041	0.4605787	0.4096009	0.7089499	0.4011755	0.3018115
750	0.0073599	0.4904898	0.4220922	0.7988249	0.6661145	0.4617637	0.3803659	0.6385284	0.4070396	0.3410027
800	0.0123851	0.5140974	0.4274209	0.7187052	0.6850136	0.4589419	0.3682538	0.5508792	0.5318731	0.3192399
850	0.0127693	0.5494918	0.4197225	0.7281654	0.6729757	0.4658209	0.4275286	0.5659684	0.3930721	0.3248643
900	0.0065981	0.5377379	0.4219391	0.8603863	0.7651499	0.4530524	0.3864445	0.6059665	0.4427043	0.3764348
950	0.0301914	0.4757861	0.4046261	0.7052811	0.7939331	0.5085049	0.3766598	0.4838328	0.4102320	0.2265285
1000	0.0086186	0.4189306	0.3321495	0.7624207	0.8374760	0.4490249	0.4671791	0.6429351	0.4874383	0.3234562

0	0.0134085	0.5465033	0.4038174	0.7590261	0.7677254	0.4198460	0.4016715	0.7092363	0.4675520	0.3062266
50	0.0126953	0.6366403	0.4793302	0.9075659	0.7361369	0.4071707	0.3126988	0.6450302	0.5258638	0.3275485
100	0.0118075	0.6151367	0.5238245	0.7155853	0.6500481	0.4482109	0.4348165	0.6785517	0.4429579	0.2930096
150	0.0228329	0.7079367	0.6462305	0.6823061	0.6775495	0.3363318	0.2395626	0.5238415	0.4960689	0.3596942
200	0.0210973	0.5983297	0.5285684	0.7955868	0.7029818	0.4308273	0.3370494	0.6677281	0.5829830	0.2739878
250	0.0446558	0.5889308	0.5203435	0.6523858	0.6592270	0.4432477	0.2598442	0.5940906	0.3871947	0.3424993
300	0.0163346	0.5262210	0.5063266	0.7664920	0.7248153	0.4045044	0.2944560	0.5479532	0.4413994	0.2494747
