YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0753640	0.0948317	0.4837360	0.9391009	0.8117609	0.0117857	0.0212594	0.4355068	0.5535822	0.1573477
0.5169301	0.1652676	0.6926526	0.8515000	0.9849087	0.0147009	0.0258114	0.4682061	0.5484929	0.2384117
0.2941187	0.4402841	1.0793694	0.0886853	0.0947465	0.9285400	1.0191933	0.0238465	0.1159840	0.7847061
0.2965069	0.0399815	0.7490391	0.5739416	0.6352222	0.3018377	0.0340778	0.4384265	0.8576775	0.0000700
0.7213687	0.0082905	0.5615248	0.6422072	0.6629721	0.1548986	0.0220870	0.5288079	0.6550181	0.0009027
0.3407770	0.4952467	0.4983850	0.7604952	0.6859852	0.1471578	0.0194657	0.5313605	0.6099646	0.1837177
0.1126742	0.2274936	0.7749539	0.6475923	0.7494683	0.1221956	0.1311613	0.2799662	0.4634047	0.2227313
0.5716447	0.5520407	0.7887853	0.0127924	0.0573163	0.6923498	0.5067598	0.1532764	0.3745770	0.3638986
0.3021876	0.0109961	0.6479721	0.8280007	1.0670143	0.0517619	0.0016299	0.5197419	0.8857549	0.0003284
0.6315765	0.4285869	0.8130668	0.6175537	0.6387633	0.2859191	0.0279619	0.4512281	0.6978136	0.0001646
