"Time"	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W

0	0.1097686	0.4524540	0.6311523	0.5637123	0.9487135	0.1302496	0.1014075	0.0760766	0.0582077	0.2593653
50	0.1297655	0.6276271	0.6311398	0.5636656	0.9487624	0.1302541	0.1014202	0.0795244	0.2928745	0.2593097
100	0.1922374	0.6602621	0.6311244	0.5636318	0.9487681	0.1304908	0.1020497	0.1100041	0.3771175	0.2592536
150	0.2463326	0.6663318	0.6311107	0.5636215	0.9486478	0.1311169	0.1055737	0.1645822	0.4073520	0.2592087
200	0.2746513	0.6674515	0.6311040	0.5636650	0.9482668	0.1326267	0.1142551	0.2130230	0.4181973	0.2591901
250	0.2863942	0.6676546	0.6311140	0.5638258	0.9473059	0.1359425	0.1270475	0.2441719	0.4220866	0.2592310
300	0.2906919	0.6677018	0.6311611	0.5642402	0.9452285	0.1413965	0.1401932	0.2611269	0.4234911	0.2594025
350	0.2921640	0.6677533	0.6312851	0.5651240	0.9416196	0.1481677	0.1507268	0.2695046	0.4240310	0.2598476
400	0.2926884	0.6678725	0.6315455	0.5666768	0.9365774	0.1548626	0.1578470	0.2734162	0.4243169	0.2607850
450	0.2929736	0.6681196	0.6320023	0.5689392	0.9307538	0.1604143	0.1621308	0.2752258	0.4246114	0.2624335
500	0.2933062	0.6685537	0.6326828	0.5717282	0.9250235	0.1644435	0.1645195	0.2761597	0.4250543	0.2648879
550	0.2463799	0.4949040	0.6335587	0.5747038	0.9200888	0.1669567	0.1646360	0.2387714	0.1917963	0.2680350
600	0.1718651	0.4637727	0.6345493	0.5775010	0.9164959	0.1664598	0.1536845	0.1597822	0.1091522	0.2715723
650	0.1340251	0.4593778	0.6355439	0.5797430	0.9153948	0.1609624	0.1343284	0.1112884	0.0807708	0.2750954
700	0.1195667	0.4599937	0.6364076	0.5808942	0.9180108	0.1522016	0.1185795	0.0900401	0.0719256	0.2781116
750	0.1148629	0.4613799	0.6369812	0.5804377	0.9238244	0.1438847	0.1095224	0.0816166	0.0699603	0.2799899
800	0.1136877	0.4625260	0.6371258	0.5783784	0.9307592	0.1379297	0.1050785	0.0783990	0.0700860	0.2801460
850	0.1136125	0.4630545	0.6367980	0.5753411	0.9369384	0.1343076	0.1030451	0.0772001	0.0703538	0.2784485
900	0.1137280	0.4628218	0.6360809	0.5721417	0.9415487	0.1323131	0.1021433	0.0767609	0.0699843	0.2753713
950	0.1137035	0.4618849	0.6351435	0.5693680	0.9446059	0.1312832	0.1017500	0.0765905	0.0688316	0.2717156
1000	0.1134511	0.4604571	0.6341676	0.5672614	0.9464713	0.1307735	0.1015797	0.0765013	0.0671141	0.2682104

0	0.1097686	0.4524540	0.6311523	0.5637123	0.9487135	0.1302496	0.1014075	0.0760766	0.0582077	0.2593653
50	0.4477685	0.4639823	0.6629830	0.5922064	0.6707319	0.1307046	0.1014226	0.0801230	0.3248120	0.5440694
100	0.5453708	0.4952861	0.6849552	0.6687310	0.5851258	0.1312125	0.1022638	0.1254506	0.4762196	0.6061904
150	0.5775548	0.5327132	0.7099572	0.7359884	0.5586316	0.1318767	0.1085136	0.2317038	0.5713284	0.6548742
200	0.5940731	0.5724522	0.7329854	0.7760449	0.5501676	0.1348365	0.1298351	0.3516997	0.6332758	0.7038469
250	0.6089748	0.6087826	0.7494057	0.7959937	0.5463272	0.1461222	0.1710415	0.4501109	0.6772062	0.7410012
300	0.6248591	0.6368041	0.7595688	0.8055247	0.5408033	0.1743285	0.2232759	0.5213997	0.7087265	0.7638975
350	0.6401724	0.6559444	0.7661234	0.8116098	0.5278385	0.2215613	0.2736076	0.5705812	0.7301803	0.7766772
400	0.6530162	0.6687816	0.7723124	0.8192523	0.5022284	0.2790681	0.3147263	0.6035072	0.7439198	0.7843153
450	0.6629740	0.6792515	0.7817112	0.8319746	0.4635740	0.3348373	0.3451756	0.6249521	0.7525209	0.7908763
500	0.6712386	0.6917505	0.7979602	0.8507159	0.4183791	0.3812810	0.3663952	0.6386663	0.7583671	0.7991477
550	0.4240561	0.7029503	0.7811648	0.8513521	0.5791200	0.4158259	0.3800318	0.6314913	0.6399915	0.6768023
600	0.3621999	0.6937176	0.7507373	0.8204296	0.5947051	0.4337603	0.3811538	0.5796880	0.5606836	0.6567373
650	0.3353322	0.6671800	0.7307087	0.7988265	0.5807205	0.4282151	0.3631585	0.5063661	0.5085503	0.6337485
700	0.3045880	0.6397748	0.7216395	0.7926654	0.5756068	0.4001562	0.3292219	0.4358270	0.4707319	0.6105783
750	0.2723728	0.6205926	0.7176532	0.7910813	0.5911953	0.3581721	0.2889039	0.3771863	0.4403437	0.5964708
800	0.2466129	0.6089295	0.7133559	0.7841854	0.6276399	0.3121082	0.2506300	0.3308369	0.4174269	0.5885327
850	0.2288401	0.5997562	0.7063818	0.7674552	0.6787392	0.2693997	0.2187231	0.2957027	0.4010132	0.5782937
900	0.2158719	0.5890681	0.6974762	0.7413231	0.7351115	0.2341547	0.1942576	0.2697737	0.3863663	0.5588360
950	0.2041109	0.5759346	0.6882731	0.7096640	0.7877522	0.2074292	0.1763726	0.2491223	0.3672069	0.5276050
1000	0.1919083	0.5614089	0.6796433	0.6775726	0.8310898	0.1882179	0.1631342	0.2286974	0.3388825	0.4867489

0	0.1097686	0.4524540	0.6311523	0.5637123	0.9487135	0.1302496	0.1014075	0.0760766	0.0582077	0.2593653
50	0.1097631	0.4507887	0.6187384	0.3615063	0.9487629	0.1302331	0.1014015	0.0762574	0.1487796	0.8831877
100	0.1086176	0.4274873	0.5700988	0.3123080	0.9487929	0.1302255	0.1014876	0.0865496	0.4011549	0.9798497
150	0.1025102	0.3619444	0.5072490	0.3003315	0.9488078	0.1302772	0.1033802	0.1678692	0.5832334	0.9947948
200	0.0923708	0.2740307	0.4574592	0.2974143	0.9487493	0.1311857	0.1164411	0.3217959	0.6755247	0.9970977
250	0.0847569	0.1994831	0.4270989	0.2967329	0.9480018	0.1378051	0.1560363	0.4591850	0.7170584	0.9974497
300	0.0812817	0.1517578	0.4111665	0.2968280	0.9434969	0.1625238	0.2179452	0.5475617	0.7346838	0.9975025
350	0.0800441	0.1255976	0.4038653	0.2981538	0.9271862	0.2124673	0.2796583	0.5964904	0.7418969	0.9975102
400	0.0796452	0.1126326	0.4021500	0.3027007	0.8886034	0.2753923	0.3265563	0.6214493	0.7447758	0.9975118
450	0.0795209	0.1075628	0.4061648	0.3133635	0.8261383	0.3331551	0.3569139	0.6335239	0.7459040	0.9975139
500	0.0794827	0.1086859	0.4182202	0.3317329	0.7532129	0.3765757	0.3747034	0.6391439	0.7463404	0.9975188
550	0.0794722	0.1204801	0.4773189	0.5854934	0.6867683	0.4052604	0.3843645	0.6369832	0.6522718	0.2495375
600	0.0794800	0.1750610	0.5696057	0.6778203	0.6359555	0.4188986	0.3843620	0.5652199	0.3732819	0.2279573
650	0.0796285	0.2804600	0.6320886	0.7257947	0.6054862	0.4023901	0.3527712	0.3795770	0.1939706	0.3372880
700	0.0811936	0.3914868	0.6682532	0.7539120	0.6049300	0.3501172	0.2778213	0.2170058	0.1446009	0.4346925
750	0.0889356	0.4742489	0.6865992	0.7638309	0.6408835	0.2844780	0.1982135	0.1374070	0.1698885	0.4972339
800	0.1070263	0.5237278	0.6915746	0.7534547	0.7059754	0.2243884	0.1469022	0.1091019	0.2219891	0.5269647
850	0.1304377	0.5462351	0.6880568	0.7247532	0.7808363	0.1816983	0.1222629	0.1076420	0.2678390	0.5264328
900	0.1493253	0.5504173	0.6809446	0.6859431	0.8449929	0.1568252	0.1128008	0.1200306	0.2905830	0.4990422
950	0.1584985	0.5441596	0.6728115	0.6476517	0.8894625	0.1442126	0.1106960	0.1339217	0.2851843	0.4530310
1000	0.1588420	0.5328149	0.6644759	0.6169338	0.9161798	0.1386281	0.1116231	0.1386019	0.2555060	0.4011294

0	0.1097686	0.4524540	0.6311523	0.5637123	0.9487135	0.1302496	0.1014075	0.0760766	0.0582077	0.2593653
50	0.2116719	0.4524693	0.6311400	0.5636707	0.9484788	0.1364709	0.1777224	0.4218960	0.0808406	0.4605520
100	0.2405552	0.4524623	0.6311375	0.5639110	0.9440418	0.1656621	0.2506382	0.5459781	0.1479447	0.4917745
150	0.2487409	0.4524800	0.6312735	0.5660516	0.9247921	0.2285613	0.3255253	0.5921306	0.2093624	0.4969046
200	0.2510716	0.4527589	0.6320541	0.5743628	0.8755110	0.3083186	0.3786953	0.6125018	0.2468449	0.4994345
250	0.2518179	0.4541035	0.6346999	0.5951808	0.7949511	0.3782178	0.4101502	0.6242778	0.2670531	0.5058137
300	0.2523832	0.4583122	0.6410026	0.6316168	0.7050603	0.4281705	0.4277996	0.6321091	0.2805810	0.5212440
350	0.2535828	0.4679637	0.6522818	0.6787791	0.6282288	0.4604020	0.4378816	0.6377853	0.2965637	0.5495779
400	0.2563256	0.4851466	0.6684078	0.7267611	0.5723500	0.4804414	0.4440487	0.6431093	0.3215745	0.5896967
450	0.2617612	0.5100295	0.6877667	0.7675011	0.5351261	0.4933053	0.4485049	0.6501613	0.3577370	0.6345489
500	0.2711708	0.5403792	0.7078165	0.7980069	0.5111016	0.5028570	0.4528419	0.6608120	0.4015253	0.6756712
550	0.1889828	0.5723262	0.7261209	0.8191496	0.4965745	0.4854031	0.3852014	0.3910205	0.4247421	0.5937402
600	0.1836906	0.6019142	0.7403054	0.8319884	0.5038360	0.4167037	0.3010418	0.3097112	0.4165783	0.6079030
650	0.2021487	0.6250655	0.7451579	0.8330070	0.5469961	0.3370504	0.2350852	0.2818374	0.4146019	0.6262196
700	0.2249927	0.6361966	0.7367146	0.8168538	0.6212274	0.2698200	0.1969311	0.2722776	0.4220877	0.6323689
750	0.2406226	0.6315101	0.7197228	0.7826029	0.7068025	0.2237430	0.1781204	0.2728270	0.4288126	0.6199128
800	0.2419218	0.6137318	0.7024129	0.7369366	0.7819499	0.1965751	0.1704188	0.2765658	0.4244497	0.5856790
850	0.2293205	0.5900940	0.6882663	0.6909051	0.8360429	0.1823099	0.1680183	0.2747160	0.4017628	0.5326128
900	0.2091997	0.5665352	0.6768784	0.6529190	0.8699736	0.1753015	0.1661921	0.2594458	0.3587782	0.4709804
950	0.1881694	0.5454601	0.6672985	0.6257274	0.8895260	0.1710867	0.1611072	0.2282003	0.3010953	0.4133378
1000	0.1697801	0.5271496	0.6592026	0.6080573	0.9007724	0.1665808	0.1511448	0.1869283	0.2402067	0.3676697

0	0.1097686	0.4524540	0.6311523	0.5637123	0.9487135	0.1302496	0.1014075	0.0760766	0.0582077	0.2593653
50	0.1097872	0.4524694	0.6311408	0.5636975	0.9468941	0.1722864	0.4631575	0.2342804	0.0582222	0.2593107
100	0.1097976	0.4524726	0.6312161	0.5655872	0.9159727	0.2969662	0.5604817	0.2908894	0.0582173	0.2594604
