YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.3400858	0.4171640	0.0748946	0.4022953	0.7130892	0.0151104	0.0108569	0.4600439	0.7374154	0.7989223
0.3301601	0.1902085	0.1244435	0.3936641	0.8227960	0.1832745	0.0079685	0.4940505	0.8697476	0.7216350
0.2340033	0.0408597	0.0110508	0.2031010	0.6567603	0.1189705	0.0482000	0.3865112	0.7485515	0.6216755
0.3115662	0.5344044	0.0624740	0.3984316	0.7764795	0.0084757	0.0019770	0.4629714	0.7530789	0.6167505
0.5166426	0.5909786	0.3708673	0.7042617	0.2871646	0.4695074	0.0434755	0.3977194	0.6586910	0.0960020
0.3067833	0.4080245	0.1946919	0.4958393	0.8172048	0.4095323	0.0006674	0.5190101	0.7789072	0.3339695
0.1935902	0.0254743	0.0272722	0.3029225	0.8546391	0.0367449	0.0470385	0.4473894	0.6438028	0.4583998
0.3938010	0.2768346	0.1224193	0.3723550	0.6481123	0.0287855	0.0614072	0.5047641	0.5233259	0.7481696
0.3361140	0.6362455	0.3732757	0.5765797	0.6641830	0.2770032	0.0054086	0.6160544	0.7289158	0.1798652
0.5556430	0.8253600	0.5406663	0.6363656	0.5710979	0.2479010	0.0170647	0.4236406	0.7925769	0.1862055
