YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.6621038	0.3233841	0.9420609	0.5559936	0.0830960	0.2664231	0.5912730	0.9966107	0.1109795	0.0886987
0.6186739	0.4940724	0.7625104	0.5353708	0.1826345	0.3056425	0.8452436	0.8938653	0.0533351	0.0809206
0.7103870	0.4026463	1.0000000	0.7238550	0.3931238	0.3726928	0.5449987	0.9423184	0.2967555	0.0283414
0.7103870	0.4026463	1.0000000	0.6977155	0.2606314	0.3670750	0.7398332	0.9641974	0.2497925	0.0052595
0.7103870	0.4026463	1.0000000	0.3483455	0.0729889	0.2899882	0.7081211	0.8462657	0.4285187	0.0749191
0.4925427	0.4608744	0.8391758	0.5707343	0.1290239	0.3365827	0.7889272	1.0000000	0.0000302	0.0392817
0.7103870	0.4026463	1.0000000	0.4317413	0.1197185	0.5573766	0.5135071	0.7186277	0.1718958	0.0935781
0.6854900	0.4026463	1.0000000	0.1148257	0.5735932	0.3840725	0.6015146	0.8405001	0.0007081	0.0881782
0.8414187	0.2765941	0.9467952	0.6124714	0.3662350	0.3658147	0.7417476	1.0000000	0.0005645	0.0831610
0.6731764	0.4387963	0.5764873	0.3968107	0.0231136	0.3150492	0.8272605	0.8357723	0.1601757	0.0812492
