YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.4968383	0.5378280	0.8099764	0.7310938	0.1807701	0.0859585	0.2779680	0.9597706	0.5616720	1.0000000
0.5952823	0.2577668	0.7577951	0.5400894	0.1915185	0.0903622	0.2865473	0.9455981	0.5773462	1.0000000
0.7908279	0.2992340	0.3838683	0.5874484	0.0770982	0.0342677	0.3046041	0.9180121	0.4350957	1.0000000
0.9893985	0.4950086	0.7126592	0.3409815	0.2770016	0.1235461	0.3212130	0.8942920	0.6935375	1.0000000
0.9935131	0.5359191	0.8055311	0.7349184	0.1556422	0.1370213	0.3215110	0.8938632	0.5252483	1.0000000
0.9935069	0.5360015	0.8060122	0.7373678	0.1399589	0.0685211	0.3215099	0.8938644	0.5039956	1.0000000
0.9936273	0.5374001	0.8090457	0.7477363	0.0585676	0.0177233	0.1607597	0.8938512	0.4224057	1.0000000
0.9484677	0.3841662	0.5095880	0.4481733	0.7313912	0.3797026	0.8159114	0.4493888	0.9268414	1.0000000
0.9932384	0.5316295	0.7945909	0.6940243	0.3086152	0.1357993	0.3214992	0.8938873	0.3646356	1.0000000
0.9862023	0.4744766	0.6703357	0.4869862	0.8067859	0.4775040	0.5988468	0.6218212	0.7934583	0.5000000
