YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.3060635	0.0607323	0.0060618	0.6717904	0.6312607	0.3217260	0.6706145	0.7481396	0.5580474	0.8180748
0.7942574	0.0282957	0.0161649	0.8013276	0.7057289	0.2617079	0.6331040	0.6685815	0.6857376	0.7458727
0.8279541	0.0480040	0.0024221	0.5873558	0.6552749	0.3151939	0.8573658	0.7087830	0.6310998	0.7648690
0.7863960	0.1090370	0.0066641	0.3607891	0.7766907	0.2858081	0.7260348	0.7205543	0.8337311	0.8660853
0.8397359	0.0804581	0.0001873	0.7433385	0.3385489	0.1251135	0.7427114	0.6937832	0.7629274	0.8060865
0.7305950	0.0498101	0.0061002	0.6268307	0.7324054	0.1271491	0.6038644	0.6512358	0.6721308	0.7142677
0.6554011	0.0511103	0.0032424	0.8740190	0.9304049	0.1406034	0.3804449	0.6751184	0.5824091	0.7430810
0.6297995	0.0572038	0.0127265	0.6882131	0.7018693	0.1703563	0.5033716	0.3333737	0.7754244	0.8288739
0.6997772	0.0805458	0.0026537	0.7645975	0.6341511	0.2781551	0.5899316	0.8023649	0.3692819	0.6071373
0.6498546	0.0646185	0.0039938	0.8103287	0.6081913	0.2916883	0.6007703	0.7498461	0.6381884	0.3419492
