YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.6304708	0.3793435	0.6628842	0.0051689	0.4453826	0.6119600	0.7869191	0.2321567	0.3663811	0.2908959
0.4173690	0.3741192	0.6001394	0.0982880	0.5515340	0.6613673	0.8000525	0.5547001	0.2597090	0.2901331
0.4314770	0.4834530	0.6997812	0.0912105	0.6316420	0.5847349	0.3928116	0.1189724	0.4743173	0.3018472
0.7030913	0.5897344	0.7952934	0.0167883	0.7907955	0.6829427	0.6974130	0.2965269	0.2323536	0.4962776
0.7767379	0.4253207	0.7282050	0.0604731	0.5638760	0.5410642	0.7998580	0.5734197	0.1167012	0.2485208
0.3518365	0.4363998	0.6357871	0.0272151	0.5963825	0.6130891	0.7057728	0.5396063	0.3387163	0.6026970
0.8407688	0.4590520	0.6214817	0.0990900	0.5687362	0.5543480	0.6756869	0.4995723	0.2899942	0.3420285
0.7091144	0.4560974	0.6209793	0.0224931	0.5841069	0.6263275	0.6117910	0.4572309	0.1302784	0.3081440
0.5485237	0.5085559	0.8374687	0.0895306	0.7108825	0.7294784	0.7767916	0.5739835	0.3292120	0.3410075
0.6517538	0.3378055	0.8066151	0.0308705	0.5790104	0.6109714	0.5543041	0.3318270	0.2150655	0.2470412
