YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.0000000	0.7806549	0.5794397	0.8046443	0.5729995	0.5680819	0.0896670	0.9718953	0.3361102	1.0296212
0.9420394	0.0000000	0.4412319	0.8285997	0.5883681	0.4304460	0.1065360	0.9796109	0.3304060	0.9296699
0.7735272	0.9688968	0.0000000	0.8336212	0.8494216	0.1212112	0.1002132	1.0633827	0.3416650	0.8838930
0.7616850	0.6053040	0.4731832	0.0000000	0.6308047	0.7233552	0.3518493	0.5950185	0.5076386	0.9972720
0.7026789	0.8711472	0.0318486	0.0164960	0.0000000	0.5341482	0.3422735	0.5577993	0.4986015	1.1227485
0.7575152	1.0210952	0.2720332	0.7149468	0.4977354	0.0000000	0.1301803	1.0466703	0.4161366	0.9910330
0.7559689	1.0302337	0.3756037	0.7860969	0.5487473	0.2566874	0.0000000	0.9875733	0.4009363	1.0035789
0.4909437	0.5437675	0.4525982	0.8058573	0.5627350	0.7852386	0.9269234	0.0000000	0.5298959	1.0694991
0.7815012	0.5505837	0.5357130	0.8363031	0.6779676	0.7848197	0.2971717	0.5903868	0.0000000	1.0215879
0.7395237	0.5986939	0.5008901	0.8667564	0.6596288	0.7280243	0.2079891	0.6774494	0.1168524	0.0000000
