YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
0.0000000	0.0242998	1.0546187	0.4090733	0.4065934	0.6963707	0.7030929	0.0856978	1.1021388	0.0233789
0.9891965	0.0000000	1.0464035	0.3814626	0.3544045	0.6162739	0.6455133	0.0768553	1.0282891	0.0231946
0.9685755	0.0362457	0.0000000	0.6018361	0.3509445	0.7814993	0.7710263	0.0688757	0.5233371	1.0656869
0.9868344	0.8198172	1.0414874	0.0000000	0.2511772	0.5957089	0.7609340	0.0520612	1.0017477	0.0329928
1.0252926	0.7032620	0.4386527	0.9712375	0.0000000	0.8580104	0.8755515	0.0271604	0.8335057	0.1406233
1.0642470	0.6573718	0.4917157	0.9887591	0.0803960	0.0000000	1.0154440	0.0404677	0.9679446	0.1427796
1.0214425	0.9972052	1.0952940	0.0897146	0.6953251	0.9462495	0.0000000	0.2656361	1.0748840	0.0187121
1.0853222	0.9251637	0.7754571	0.5019214	0.3031501	0.6511381	1.0504932	0.0000000	0.9637515	0.0348666
1.0010628	0.8759255	0.8238216	0.4997630	0.3532506	0.6326094	0.9722647	0.0051364	0.0000000	0.0277275
0.9312758	1.1160592	0.8806971	0.4143756	0.3705133	0.7294171	0.7164013	0.1282162	1.1023321	0.0000000
