YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.1987446	0.3963067	0.0510818	0.8864771	0.0266914	0.3385954	0.9960488	0.8448841	0.7474445	0.2789382
0.2559976	0.5189930	0.0657755	0.6640361	0.0110003	0.2654807	0.8637482	0.8457138	0.9777729	0.0660303
0.4889610	0.8814179	0.0064567	0.9231720	0.0713659	0.2524364	1.0646587	0.3009168	0.3849338	0.4051980
0.6848678	1.1275580	0.0065057	0.9423706	0.0737347	0.3407605	0.9815708	0.2523852	0.1385804	1.0581143
0.6070198	0.6249492	0.0560970	0.9413874	0.0061243	0.2429504	1.0480335	0.9204475	0.8601792	0.1525288
0.4020508	0.2516407	0.0010985	0.8154534	0.0122572	0.2705553	0.9980606	0.9303829	0.9124060	0.0762581
0.4907727	0.8119979	0.0030379	0.8871912	0.0568239	0.3253018	0.9269842	0.2289182	0.3233714	0.7035605
0.4768580	0.5985335	0.0599947	0.8443978	0.1256244	0.2870608	0.9900804	0.3646261	0.4026659	0.6312785
0.3963958	0.6769612	0.0482215	0.8952118	0.0255699	0.2683868	1.0763161	0.7559914	0.8225981	0.2701645
0.4984120	0.6375714	0.0501237	0.8282865	0.1220874	0.3298438	0.9506973	0.9173930	1.0083198	0.1384054
