YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.0009526	0.3750772	0.2639148	0.7372054	0.3972834	0.7140155	0.6766270	0.4337256	0.1691184	0.5906991
0.0935308	0.2195762	0.3928594	0.5262110	0.3261254	0.8768213	0.8354446	0.2367179	0.1878403	0.6367656
0.1649658	0.3631518	0.2921635	0.6499836	0.4517876	0.8495441	0.8326654	0.6545310	0.2272265	0.3556383
0.0388662	0.2417023	0.2942536	0.5885292	0.3168752	0.6287036	0.7234436	0.3009291	0.1650824	0.6924873
0.0882524	0.3281377	0.2900151	0.5641643	0.5325353	0.7499181	0.7091337	0.3937113	0.1189776	0.6445644
0.0052212	0.4721289	0.2987427	0.6270199	0.3939296	0.6605299	0.4587558	0.1540518	0.1302920	0.7705746
0.0600880	0.3151221	0.3807822	0.7207043	0.3998854	0.7011579	0.7477046	0.7076861	0.2633790	0.7434455
0.1603914	0.3598929	0.3457057	0.7435685	0.3918715	0.8338311	0.6935403	0.5233254	0.1627713	0.5716798
0.1866242	0.3380494	0.2646363	0.7175919	0.5239218	0.8614469	0.9025025	0.6196317	0.2791819	0.3718393
0.1688724	0.1969415	0.5322180	0.6099096	0.4288090	0.6817283	0.7293781	0.2474633	0.1015212	0.6684652
