"Time"	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
250	0.0169146	0.0189183	0.0220275	0.3551167	0.7210468	0.1724022	0.7274101	0.6446773	0.2980844	0.7198974
300	0.0287975	0.0250889	0.0398437	0.2817869	0.6920362	0.0781696	0.5960256	0.5677519	0.3873275	0.6392078
350	0.0422483	0.0494774	0.0291680	0.3731573	0.6054906	0.0908618	0.5606383	0.5092935	0.3015776	0.6939113
400	0.0202332	0.0315845	0.0179012	0.3777136	0.7627133	0.1013402	0.6445084	0.5901124	0.3450804	0.8273119
450	0.0307765	0.0362306	0.0198906	0.3592725	0.6526514	0.1530787	0.6243867	0.5400608	0.3034578	0.5797430
500	0.0315573	0.0607527	0.0200743	0.3354905	0.6681284	0.1151320	0.6364431	0.5870639	0.3080641	0.7729963
550	0.0374788	0.0998572	0.2323456	0.4728935	0.6158433	0.2552573	0.4338387	0.4043087	0.5956190	0.7602634
600	0.2461266	0.1311928	0.1910923	0.5983832	0.4573852	0.1858621	0.4273268	0.3686226	0.7561256	0.7337242
650	0.3144722	0.2050404	0.1691032	0.6321759	0.3119000	0.1267057	0.4864551	0.2424763	0.7264985	0.5834465
700	0.2533172	0.2241152	0.1417855	0.6392709	0.3045373	0.1358883	0.6385954	0.2332718	0.7219665	0.7685117
750	0.1656359	0.1921696	0.2096389	0.7064761	0.3685182	0.1182111	0.7227537	0.2269747	0.7987654	0.7084753
800	0.1621697	0.2273165	0.1205860	0.6270809	0.5696455	0.0837182	0.7810560	0.1791746	0.7229063	0.7950510
850	0.1435370	0.2073935	0.1225709	0.4940449	0.6167251	0.0901118	0.7440505	0.2462789	0.7407697	0.6628176
900	0.1348556	0.2174517	0.1548329	0.7634417	0.7190601	0.0674953	0.6488470	0.1955335	0.6258940	0.9577031
950	0.2184726	0.1317322	0.1250538	0.6249575	0.6807983	0.0766674	0.7787225	0.1334815	0.6201227	0.6275789
1000	0.1534135	0.2247127	0.2208922	0.7413652	0.6095804	0.1326703	0.7327087	0.2250910	0.6967483	0.6657828

0	0.0807062	0.2557539	0.1549475	0.6207545	0.8527206	0.0666667	0.7712264	0.2093576	0.8984900	0.5895957
50	0.1704173	0.2545332	0.1228658	0.6848218	0.8104365	0.0399056	0.7584634	0.2786391	0.8326280	0.7929460
100	0.0500666	0.2858522	0.1738244	0.6445920	0.6698642	0.0278778	0.6335141	0.2624626	0.6881503	0.8179125
150	0.0746888	0.3305175	0.1739600	0.7717762	0.6735174	0.0683463	0.6710597	0.3265022	0.6659848	0.9263324
200	0.0848818	0.2349493	0.1436191	0.6937191	0.8060433	0.0345155	0.6324611	0.2466305	0.6371025	0.7358090
