"Time"	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C

0	0.1668573	0.7834841	0.2530377	0.3271806	0.0572009	0.3001501	0.1795320	0.4202266	0.7965336	0.6911948
50	0.2091860	0.8052065	0.2311008	0.4495004	0.0797410	0.2667444	0.1299556	0.4762833	0.8067234	0.7572175
100	0.1849970	0.7526803	0.1592407	0.4053342	0.0319109	0.1701603	0.2064098	0.4637284	0.6001440	0.6417427
150	0.1850804	0.9256327	0.1080608	0.5914214	0.0836287	0.0703899	0.2132884	0.3651923	0.8032345	0.7210889
200	0.1390737	0.8378210	0.0769038	0.5286163	0.0258479	0.2786323	0.2378628	0.3066641	0.6126598	0.7919522
250	0.1277920	0.6762946	0.1319691	0.4470083	0.0443877	0.1748413	0.1422361	0.3403020	0.7218391	0.7074939
300	0.1196453	0.7189681	0.0656329	0.6097350	0.0335736	0.1926959	0.2190566	0.3741126	0.7577573	0.8082130
350	0.1665908	0.7819222	0.0612762	0.5057590	0.0261608	0.1833550	0.1734958	0.5432377	0.6990239	0.7661864
400	0.1994038	0.6905366	0.1562855	0.4672290	0.0323546	0.1779385	0.1927410	0.3720268	0.7534974	0.7369335
450	0.1219001	0.7397334	0.1386203	0.3996832	0.0317401	0.1440429	0.1536132	0.5163410	0.6542847	0.7333317
500	0.1241716	0.7688883	0.0851945	0.5113823	0.0427802	0.1986376	0.1654375	0.5337873	0.7193569	0.6746901
550	0.1793614	0.5950460	0.0791832	0.2484185	0.0504464	0.2635763	0.1717577	0.4072775	0.7460839	0.7762388
600	0.1761096	0.7810705	0.1248292	0.3231356	0.0480162	0.2806770	0.1831781	0.4405742	0.6341739	0.7208491
650	0.1900867	0.8797197	0.1997381	0.3260459	0.0282610	0.3760680	0.1576862	0.3315103	0.6482456	0.7058015
700	0.2147764	0.6834477	0.1903896	0.2572822	0.0198204	0.2229770	0.2779902	0.4654407	0.6966312	0.7637349
750	0.1558799	0.8572407	0.1843304	0.2465948	0.0436606	0.2494930	0.1609928	0.5119037	0.6375573	0.7775927
800	0.1471529	0.8335377	0.2126012	0.2406618	0.0529473	0.2270806	0.1774168	0.3567795	0.6597137	0.5780104
850	0.1493597	0.6581415	0.2167231	0.2590126	0.0588417	0.2751400	0.2128730	0.4178292	0.8430716	0.6627368
900	0.1709420	0.9115893	0.1791220	0.3786639	0.0597524	0.2406865	0.2056942	0.4208701	0.7486225	0.8120184
950	0.1206973	0.8401460	0.2385485	0.3047445	0.0203767	0.3828167	0.1602441	0.3857366	0.6182843	0.9414403
1000	0.1227408	0.7580522	0.1966211	0.3115874	0.0426685	0.3637315	0.2134471	0.4218934	0.7883298	0.7200444

0	0.1521109	0.7894176	0.1755964	0.2981876	0.1143119	0.3567202	0.2393680	0.3997112	0.7093060	0.8620519
50	0.1405470	0.6687642	0.2968533	0.2600742	0.0350129	0.1003588	0.1834047	0.1870541	0.7807278	0.7505070
100	0.1622579	0.7662839	0.2450589	0.2147263	0.0640872	0.0710565	0.1954193	0.1025087	0.5998486	0.7728932
150	0.1548062	0.7553010	0.2378112	0.1493365	0.0334592	0.0498319	0.2254080	0.1466954	0.7746340	0.6501485
200	0.1642733	0.8438730	0.3752653	0.0992836	0.0281609	0.0189237	0.2906600	0.1624554	0.8171665	0.8015337
250	0.2122948	0.6845750	0.4873585	0.0356855	0.0274210	0.0194307	0.3470394	0.1242507	0.7348324	0.7783107
300	0.1655944	0.7863562	0.6490325	0.0439037	0.0651664	0.0061532	0.3726453	0.0711636	0.8033310	0.7172832
350	0.1552547	0.7267068	0.7012210	0.0302003	0.0256664	0.0056807	0.4450175	0.1208928	0.7511706	0.7299210
400	0.1532591	0.6853728	0.6847303	0.0295901	0.0304896	0.0022867	0.5729047	0.0844589	0.6467909	0.6317847
450	0.2005795	0.6500820	0.7263728	0.0379532	0.0306723	0.0005283	0.4543420	0.0738053	0.9203781	0.8298079
500	0.1994365	0.8673240	0.7780255	0.0188475	0.0267248	0.0002977	0.3360338	0.0838511	0.8035814	0.9010440
550	0.2511636	0.6819084	0.7064227	0.0588326	0.0383005	0.0809018	0.3784166	0.2721575	0.6481676	0.8835386
600	0.1649830	0.8727346	0.7811311	0.0916831	0.0101102	0.1708733	0.2566818	0.4207439	0.6161898	0.8519583
650	0.1749534	0.7552362	0.6879824	0.1483305	0.0131170	0.2315114	0.1693415	0.3879068	0.6551656	0.7952060
700	0.1505260	0.6915329	0.5529391	0.1410802	0.0224924	0.2603795	0.1960602	0.4688748	0.6840001	0.7998898
750	0.2404278	0.7542112	0.4857534	0.1350089	0.0351915	0.2043911	0.2326574	0.4295060	0.7983141	0.6918057
800	0.1803246	0.8305973	0.4294118	0.1801933	0.0442154	0.2315566	0.1510148	0.4323510	0.7504164	0.9481234
850	0.1313912	0.7842300	0.3583541	0.2815698	0.0288320	0.2156581	0.2043812	0.5564246	0.6535176	0.6702916
900	0.1654715	0.7313590	0.2583784	0.2996669	0.0789570	0.2968006	0.1741066	0.4017272	0.7832187	0.7886404
950	0.1790384	0.6913704	0.2159857	0.2522382	0.0598925	0.2120747	0.2012152	0.4570954	0.6728003	0.8099434
1000	0.2058335	0.7049196	0.2706840	0.2647329	0.0349152	0.3493490	0.2278913	0.5166450	0.6218561	0.8227299

0	0.1285480	0.7056059	0.1542310	0.2977079	0.0725353	0.2550556	0.1949466	0.3557782	0.7912508	0.7536641
50	0.1203558	0.6900414	0.0981786	0.3992401	0.0390908	0.1133207	0.2055405	0.0958266	0.7412899	0.8169380
100	0.1883908	0.5563324	0.0533272	0.3974305	0.0486281	0.0780402	0.3980816	0.0312424	0.7403738	0.8314192
150	0.1749437	0.7207144	0.0556026	0.2543367	0.0451679	0.0239060	0.3947526	0.0302333	0.7214696	0.7168476
200	0.1875081	0.4732866	0.0861126	0.3040857	0.0167205	0.0068173	0.6578356	0.0399353	0.8554765	0.7422060
250	0.1918076	0.6270791	0.0452552	0.2839641	0.0464503	0.0068407	0.5684776	0.0359209	0.7824590	0.7775661
300	0.3290998	0.3521797	0.0467373	0.2672337	0.0305930	0.0011000	0.6375717	0.0254127	0.8255449	0.6544784
350	0.3581202	0.2626060	0.0715353	0.2778561	0.0573332	0.0009525	0.6964126	0.0440796	0.6291226	0.7100046
400	0.5570139	0.4016473	0.0270143	0.3835649	0.0751705	0.0011186	0.6440676	0.0362958	0.6376498	0.7029080
450	0.4631952	0.2956968	0.0840661	0.3438432	0.0946532	0.0002475	0.7527246	0.0103991	0.8084555	0.6865350
500	0.5378307	0.3770134	0.0560813	0.3239168	0.1103702	0.0010709	0.7615903	0.0228412	0.7941645	0.7559152
550	0.5473883	0.4155317	0.1933558	0.1095359	0.1795201	0.1240612	0.4545304	0.4101574	0.6524386	0.7526332
600	0.3582552	0.5799478	0.2939911	0.1272174	0.1225923	0.1481706	0.2008611	0.4659380	0.5543243	0.8537436
650	0.3530256	0.5936554	0.4660256	0.1117417	0.1290443	0.1664623	0.1936518	0.4118583	0.7667777	0.6814203
700	0.2300456	0.6963340	0.4232035	0.1789857	0.1012069	0.2877038	0.1757603	0.4697972	0.7927060	0.8150747
750	0.1815578	0.6582308	0.4054085	0.1992665	0.0967264	0.2163140	0.2166139	0.3960481	0.7270447	0.7870036
