"Time"	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W

0	0.0737568	0.2562495	0.6819494	0.3347063	0.4985034	0.7419503	0.3016797	0.0152020	0.5036575	0.4884943
50	0.0627388	0.2464512	0.5877238	0.4315824	0.2529148	0.7355903	0.4322277	0.0281701	0.3818872	0.3774301
100	0.0629460	0.2894072	0.6252830	0.4443912	0.1772461	0.6651976	0.4975637	0.0530279	0.2842067	0.4295113
150	0.0684667	0.4028675	0.7342697	0.4820079	0.0851694	0.6634709	0.6587013	0.0279146	0.4919589	0.3990832
200	0.0787889	0.5825147	0.8268002	0.3953746	0.1276395	0.7163097	0.4671486	0.0372314	0.3938838	0.3688466
250	0.0546119	0.6306787	0.7402923	0.5229773	0.1149985	0.6737242	0.4826120	0.0259476	0.3099495	0.3288233
300	0.0768591	0.5425411	0.6756261	0.4754471	0.1391584	0.6416664	0.5101364	0.0235672	0.2666939	0.2857221
350	0.0480617	0.5129738	0.6997642	0.4842581	0.1408363	0.8164573	0.6650387	0.0342199	0.2780777	0.2960461
400	0.0615207	0.5418741	0.6412975	0.5720624	0.1681178	0.7750247	0.6640127	0.0562671	0.2199146	0.2952393
450	0.0998271	0.6808738	0.6054781	0.4984096	0.1704074	0.7206463	0.6386493	0.0469469	0.3434584	0.4172562
500	0.0828920	0.6027565	0.8055153	0.4806905	0.0945133	0.8151218	0.6440354	0.0425808	0.2984768	0.3400781
550	0.0403239	0.7126558	0.7515280	0.3202522	0.4068004	0.5940045	0.5127105	0.0320949	0.3328894	0.4215816
600	0.0995234	0.5651694	0.6460323	0.2396497	0.4740159	0.7036268	0.4493900	0.0560406	0.5233752	0.5588826
650	0.0664558	0.3817744	0.5772155	0.2992276	0.4095586	0.7837226	0.4444241	0.0108313	0.5582614	0.5101718
700	0.0600680	0.2907404	0.5235837	0.2578758	0.5887063	0.7218551	0.3708128	0.0214775	0.4983279	0.5108440
750	0.0725248	0.2171953	0.5322864	0.3499219	0.5324767	0.6583578	0.3248102	0.0080468	0.5273480	0.4351787
800	0.0673861	0.3385562	0.6866831	0.4274301	0.4553322	0.6086676	0.3229310	0.0157912	0.5595956	0.4573222
850	0.0807472	0.3180418	0.6853639	0.3692908	0.4753000	0.7073221	0.2505838	0.0054939	0.4734932	0.4480939
900	0.1039605	0.2815839	0.5472320	0.3315623	0.5251855	0.4857756	0.2154167	0.0179460	0.5611191	0.4862897
950	0.0993183	0.3070157	0.5963095	0.2917330	0.4421087	0.6210593	0.2472168	0.0263960	0.4030585	0.3925590
1000	0.0725617	0.2752903	0.6990575	0.3702670	0.5832464	0.7133576	0.2317540	0.0273820	0.4097453	0.4441152

0	0.0684945	0.2514877	0.6099645	0.3735378	0.5330475	0.6356917	0.3234693	0.0305758	0.4043748	0.5501290
50	0.1044934	0.2259371	0.7274826	0.5110949	0.2835723	0.5947304	0.2467330	0.0138986	0.4656293	0.4151497
100	0.0131856	0.2814195	0.7911912	0.4956064	0.3856438	0.6485428	0.3469376	0.0423705	0.5063381	0.5179557
150	0.0049122	0.2286617	0.8043707	0.4804382	0.3415489	0.5517931	0.2960610	0.0262911	0.5103772	0.5006612
200	0.0060073	0.3110847	0.7952310	0.6395274	0.2355647	0.6871571	0.2370795	0.0370331	0.6739310	0.5078908
250	0.0016252	0.3696891	0.7763159	0.4947343	0.2164716	0.6904337	0.1940864	0.0160527	0.6609587	0.5956602
300	0.0010852	0.3895799	0.8717580	0.7216285	0.4350746	0.4991649	0.1874970	0.0153974	0.5856015	0.4608958
350	0.0024259	0.3197619	0.6731295	0.6513887	0.3866357	0.3780215	0.1829724	0.0092330	0.7207032	0.5220550
400	0.0003109	0.3410678	0.8324761	0.5556676	0.4019451	0.5044793	0.2154898	0.0104835	0.9444195	0.4619063
450	0.0000903	0.4617685	0.6776622	0.5999369	0.4091639	0.5279787	0.1811087	0.0087005	0.7365913	0.4469513
500	0.0004401	0.3033792	0.9672023	0.5442798	0.2370134	0.4669366	0.1558683	0.0184208	0.6557565	0.4581101
550	0.0425351	0.3240720	0.6729844	0.4809215	0.4704910	0.2698724	0.1349184	0.0134371	0.6319736	0.4285014
600	0.0556467	0.2966097	0.6118825	0.3859676	0.6687217	0.3874220	0.0924359	0.0071849	0.7936936	0.3970339
650	0.0778356	0.2497354	0.6932127	0.3382733	0.5968854	0.2469376	0.1561753	0.0038387	0.6554226	0.3857540
700	0.0697389	0.2253759	0.6378035	0.5048968	0.6496385	0.3778215	0.1383835	0.0208444	0.4704427	0.3823383
750	0.0739074	0.1818455	0.7449229	0.5353824	0.6372971	0.3437349	0.1979000	0.0160086	0.5610272	0.3202948
800	0.1105905	0.1663625	0.5739226	0.4227447	0.7268005	0.3030972	0.2805244	0.0154105	0.4977792	0.3861535
850	0.0547850	0.2585971	0.7063920	0.3843298	0.5027371	0.4960381	0.3042583	0.0192335	0.5187653	0.3603094
900	0.1136739	0.1648256	0.7557499	0.3601265	0.5139103	0.5133990	0.3067888	0.0130205	0.5325374	0.3950415
950	0.0969263	0.2526283	0.6949540	0.3092397	0.4432231	0.5617153	0.3412777	0.0163952	0.4313073	0.4751137
1000	0.1158651	0.1629337	0.4846176	0.3011275	0.5814242	0.6166323	0.3075744	0.0412491	0.3843134	0.3584990

0	0.0585449	0.3653607	0.6887250	0.3149668	0.4087499	0.7639937	0.2730518	0.0990449	0.4743002	0.6084304
50	0.0811333	0.2602918	0.6522286	0.2781773	0.3167349	0.6592600	0.2193536	0.0183870	0.5288891	0.4098847
100	0.0501002	0.1581296	0.6225260	0.1847181	0.2670079	0.6314036	0.2023620	0.0039346	0.6162983	0.4037413
150	0.1182881	0.0699217	0.5089988	0.1865306	0.2854727	0.4857557	0.2663272	0.0215743	0.5280315	0.4350442
200	0.1890939	0.1252760	0.3416872	0.2523310	0.1848508	0.5976546	0.2833646	0.0042064	0.4932905	0.3133450
250	0.3660006	0.0611525	0.2565571	0.1966499	0.1789188	0.5566629	0.3536460	0.0071199	0.3937696	0.3137678
300	0.4852919	0.1112188	0.2450947	0.2258951	0.2498298	0.4853912	0.3933019	0.0070842	0.2703931	0.2608605
350	0.3510762	0.1350561	0.1592305	0.2016386	0.2313822	0.6006957	0.5395517	0.0521059	0.1213976	0.4354877
400	0.1462175	0.0790760	0.1759821	0.2004397	0.1958383	0.6206381	0.7664652	0.1207068	0.1777126	0.3830076
450	0.2238492	0.1307539	0.1638450	0.1939160	0.2089851	0.5761837	0.6249769	0.4024594	0.0693371	0.3614196
500	0.2752677	0.0908497	0.1118361	0.1912423	0.2632599	0.7046799	0.8633123	0.4723740	0.0632668	0.2457174
550	0.3542978	0.1745559	0.1118132	0.1712821	0.3417279	0.6901033	0.7110266	0.6615712	0.0400442	0.3717742
600	0.1791203	0.2223364	0.1608160	0.2762493	0.3130073	0.7705992	0.8398084	0.6252787	0.0115354	0.5432303
650	0.1163474	0.2324429	0.2584082	0.2835207	0.3839154	0.6950369	0.7646023	0.7569683	0.0268769	0.4777253
700	0.1010078	0.3849303	0.4680953	0.2422121	0.4638195	0.6307464	0.6530389	0.6282044	0.1311962	0.5215649
750	0.0626162	0.2150717	0.4403586	0.3155594	0.3624669	0.7239072	0.6798124	0.3491217	0.3218035	0.5206807
800	0.1340215	0.2745261	0.4043928	0.3399270	0.4327650	0.7185851	0.7913825	0.1177574	0.3610422	0.4102541
850	0.1224378	0.3658675	0.4384314	0.3324813	0.4867836	0.6944983	0.5992990	0.0574401	0.3755953	0.5180836
900	0.0998014	0.3144059	0.4606100	0.2678489	0.4452326	0.7270509	0.6908886	0.0346027	0.4037261	0.4825210
950	0.1257016	0.2867314	0.4136945	0.2877035	0.4557305	0.6014611	0.5568089	0.0357551	0.3443279	0.4731982
1000	0.0684378	0.2707096	0.4106231	0.2500925	0.3608084	0.5848526	0.4754312	0.0385049	0.4687952	0.4322396

0	0.0640275	0.3255338	0.5970787	0.3852207	0.4772773	0.8087945	0.3092298	0.0337213	0.4227678	0.5838849
50	0.0372005	0.2462575	0.7502324	0.2564260	0.4163745	0.6071260	0.2595916	0.0583003	0.4016795	0.3375229
100	0.0943462	0.1992236	0.4786299	0.2881051	0.2560590	0.6090742	0.3048160	0.0121861	0.5141806	0.4844473
150	0.0562264	0.2300626	0.4994521	0.1622748	0.2587874	0.6562321	0.2669718	0.0141915	0.4436762	0.4627874
200	0.0574854	0.2752057	0.4069952	0.2121670	0.2475317	0.5121036	0.3440715	0.0106631	0.6376974	0.4456374
250	0.0930009	0.3564915	0.2471022	0.2406864	0.3079251	0.5685717	0.2377481	0.0043754	0.4375567	0.6655690
300	0.0658464	0.4070836	0.2085984	0.1899576	0.3333562	0.5421085	0.3208943	0.0110021	0.4265456	0.5403438
350	0.1067019	0.4265622	0.2554957	0.2448787	0.3421001	0.6619973	0.3710031	0.0253139	0.2998051	0.5171495
400	0.0571284	0.3755507	0.1973328	0.2004362	0.2335138	0.6586564	0.4476857	0.0238608	0.3345065	0.4717092
450	0.1575641	0.3049606	0.1796356	0.1480471	0.3258603	0.5965894	0.4309058	0.0536368	0.2828405	0.4835225
500	0.0620637	0.3748143	0.1584552	0.2328743	0.3578837	0.7270872	0.5358756	0.0505549	0.2731064	0.3906186
550	0.0549852	0.2909067	0.2226376	0.2881414	0.5025434	0.7861404	0.5187760	0.0417013	0.2741110	0.6339511
600	0.0862387	0.2516634	0.2254957	0.3550115	0.4628334	0.7711155	0.6376605	0.0667141	0.2265437	0.5115121
650	0.0797344	0.3608246	0.3319338	0.3880476	0.5009812	0.6659152	0.5561816	0.0510613	0.2220871	0.4904446
700	0.0982240	0.2112218	0.4181412	0.3523693	0.4029730	0.6638641	0.6443434	0.0755882	0.3320605	0.5383917
750	0.0921823	0.2080608	0.5855861	0.3657882	0.5111792	0.7550061	0.6334049	0.0484521	0.4372213	0.4324361
800	0.0635584	0.2099195	0.5395002	0.4370646	0.5391030	0.6880328	0.5826502	0.0346780	0.4728780	0.3963883
850	0.0958684	0.2169654	0.5846488	0.3636052	0.4392017	0.7371469	0.3628370	0.0310125	0.4860554	0.4489079
900	0.0601279	0.2570654	0.7412246	0.2893506	0.4826739	0.8182344	0.4070457	0.0298445	0.4554467	0.4391191
950	0.1057638	0.1727682	0.5506015	0.2655241	0.3829473	0.7322331	0.6073469	0.0271160	0.4231452	0.3606854
1000	0.0751943	0.2206384	0.4398369	0.2791978	0.3933365	0.8836183	0.3825301	0.0258009	0.5205954	0.4230921

0	0.0852135	0.3032702	0.7431887	0.3944906	0.4324412	0.7699923	0.3144778	0.0235122	0.4433434	0.5078121
50	0.0604376	0.2428693	0.5003657	0.3450195	0.4155816	0.6633160	0.2367000	0.0205406	0.4128082	0.4582036
100	0.0475745	0.2591137	0.4530710	0.3585210	0.4761911	0.4505980	0.1748466	0.0459348	0.3912087	0.4764470
150	0.1439391	0.2623720	0.5054500	0.4520612	0.5124100	0.4526500	0.2641758	0.0205548	0.4131330	0.4900409
200	0.0721967	0.2473886	0.6357596	0.3023282	0.5434285	0.4264054	0.2876978	0.0188885	0.3906383	0.3783653
250	0.0700009	0.1922957	0.5179466	0.3508853	0.4826746	0.5311007	0.1525584	0.0229585	0.4038465	0.4029540
300	0.0943888	0.2409167	0.6084807	0.3271151	0.4578796	0.6166002	0.2056683	0.0082270	0.4420806	0.5147836
350	0.1542151	0.2583928	0.4969595	0.3610141	0.3289621	0.5304720	0.1961730	0.0674912	0.3853950	0.5585076
400	0.0888335	0.2306069	0.6134381	0.2956479	0.5548692	0.4491535	0.2327256	0.0198409	0.3850350	0.4541572
450	0.0951929	0.1837325	0.5236875	0.3335522	0.5656979	0.6239399	0.1940512	0.0118721	0.5207781	0.4085230
500	0.1361708	0.1805649	0.6984513	0.4047931	0.3600389	0.6514059	0.1898871	0.0111082	0.5029733	0.4747924
550	0.1213303	0.2320680	0.6426202	0.3031140	0.3167154	0.5519535	0.2372320	0.0234868	0.4994564	0.3913975
600	0.0672440	0.2535526	0.5165443	0.3619217	0.5184826	0.7215411	0.2443845	0.0237101	0.3969335	0.4643843
650	0.0692025	0.1721824	0.5751839	0.3164080	0.4717154	0.6873865	0.3123095	0.0251590	0.3973144	0.4606219
700	0.0955189	0.1736963	0.4852800	0.3419642	0.4410100	0.6079602	0.3844779	0.0101138	0.4191742	0.4431385
750	0.0974558	0.1808651	0.4847889	0.3197782	0.4556125	0.7748524	0.3963273	0.0081670	0.5295132	0.4059384
800	0.1343865	0.2523032	0.5527528	0.4035161	0.3941339	0.5967398	0.3482304	0.0066671	0.5725688	0.4297014
850	0.0900718	0.1871500	0.5431446	0.2458482	0.4566915	0.7006897	0.2970016	0.0026436	0.4884953	0.4044330
900	0.1236724	0.2621774	0.4404628	0.3336598	0.3618998	0.7235702	0.2184965	0.0105917	0.4362749	0.4359981
950	0.0785807	0.2542390	0.6863558	0.3307463	0.5532448	0.5110585	0.2009516	0.0078665	0.4000725	0.5624566
1000	0.1172679	0.2177435	0.5687911	0.3522163	0.4948662	0.6380391	0.3346367	0.0198156	0.3381103	0.4141510

0	0.1176897	0.2520208	0.6620580	0.3092448	0.4963422	0.7116289	0.2751670	0.0212249	0.5638082	0.5569822
50	0.0659286	0.3596305	0.6307353	0.2855856	0.2238649	0.6147342	0.2474784	0.0444521	0.5774727	0.3918996
100	0.0564685	0.3529833	0.6259030	0.2498215	0.1224131	0.5616005	0.1714824	0.0233805	0.5241564	0.4959758
150	0.0189797	0.5423593	0.3583179	0.1185986	0.0727645	0.5501751	0.2365747	0.0148015	0.5842627	0.5005203
200	0.0037054	0.5616425	0.1996887	0.1219469	0.1003343	0.5708245	0.1843080	0.0079907	0.5715689	0.7030943
250	0.0093104	0.7004966	0.1278831	0.1264923	0.0921868	0.6283004	0.2022450	0.0249524	0.5025797	0.7726782
300	0.0006620	0.6196803	0.0761234	0.0834606	0.0741418	0.4876504	0.2915872	0.0012094	0.4138313	0.6483944
350	0.0015218	0.6369170	0.0508180	0.0528428	0.1275247	0.6059529	0.3618462	0.0173992	0.2981213	0.5298385
400	0.0037489	0.7361166	0.0417043	0.0541247	0.1135975	0.7356945	0.4547693	0.0305664	0.2845022	0.7287024
450	0.0000870	0.6756463	0.0529827	0.0576265	0.0857136	0.6385825	0.5038917	0.0644815	0.2403227	0.6637498
500	0.0003429	0.6550502	0.1347271	0.0832637	0.1259634	0.6995190	0.6305675	0.1260601	0.1772107	0.5900126
550	0.0555022	0.6640070	0.0365833	0.0897139	0.4859710	0.7215444	0.5561657	0.1445259	0.1853707	0.6694767
600	0.0416685	0.4900082	0.0633500	0.2283741	0.4458140	0.9456541	0.7951136	0.1638271	0.2190405	0.5544922
650	0.0788832	0.3454429	0.1561148	0.2740784	0.3017783	0.7442839	0.7306055	0.0886291	0.2194785	0.4417590
700	0.0818961	0.2706605	0.1742413	0.2358207	0.4429444	0.7978910	0.6965114	0.0918155	0.1919118	0.5409580
750	0.1461608	0.3325313	0.4192143	0.3313277	0.4561927	0.7619367	0.7315447	0.0934389	0.2598073	0.4268536
800	0.0784678	0.2653465	0.4020216	0.4262313	0.5100217	0.8168157	0.6169992	0.0384329	0.3753064	0.4955350
850	0.0460701	0.2281662	0.5146790	0.3841868	0.5272734	0.7367517	0.5341171	0.0414809	0.4123955	0.4132064
900	0.0742346	0.3238527	0.5888635	0.2828366	0.3829665	0.7442749	0.4317812	0.0191060	0.5012320	0.3336050
950	0.0654966	0.3479806	0.6267856	0.3341574	0.4211173	0.8558320	0.3085449	0.0223575	0.6394458	0.4796918
1000	0.0850180	0.2107990	0.6420426	0.3478119	0.3509734	0.7863968	0.3021846	0.0144500	0.6156174	0.4403108

0	0.0605638	0.3337325	0.6046320	0.3099563	0.3981531	0.7925563	0.3612559	0.0186363	0.5354431	0.4544079
50	0.1115577	0.2177959	0.6343435	0.3887791	0.3120123	0.6080539	0.3229202	0.0067280	0.4972075	0.3484850
100	0.0939422	0.2547594	0.6337935	0.3329963	0.4716698	0.7505340	0.3807965	0.0055321	0.4799606	0.5778003
150	0.0849856	0.2143190	0.7817637	0.2703627	0.5277917	0.7135031	0.2906280	0.0041035	0.4959381	0.5298418
200	0.0450232	0.2506076	0.6312671	0.2802747	0.4856191	0.6751133	0.2425967	0.0007313	0.4681568	0.5134131
250	0.0354657	0.2905695	0.6771156	0.3580168	0.4899639	0.5780421	0.2594593	0.0240580	0.6787787	0.3920469
300	0.0868311	0.2883945	0.7568098	0.3470133	0.3573241	0.6534934	0.3228776	0.0032506	0.5736499	0.4261036
350	0.1228391	0.2970566	0.6780630	0.3346708	0.5332933	0.4945560	0.1846606	0.0121871	0.5472704	0.4771484
400	0.0877668	0.2311018	0.7705769	0.4155057	0.4873128	0.4799984	0.2079806	0.0011682	0.4086377	0.6078016
450	0.0763585	0.1584513	0.6800042	0.3780064	0.4669141	0.5515128	0.2807599	0.0011843	0.4723404	0.4869998
500	0.0984082	0.2672558	0.7394543	0.3820387	0.6601649	0.6733129	0.2392687	0.0071382	0.5827727	0.4607812
550	0.0543924	0.2920916	0.7691826	0.4094519	0.4478051	0.5510858	0.2463226	0.0183277	0.5259932	0.4855830
600	0.0578973	0.2106137	0.7059677	0.4077388	0.5476308	0.5635672	0.2767328	0.0189866	0.4998055	0.4424960
650	0.0645053	0.3058544	0.7748786	0.4131780	0.4904289	0.5795529	0.2965305	0.0175278	0.5009451	0.3859652
700	0.1054600	0.2584375	0.6488039	0.3353809	0.3671448	0.7459584	0.3268561	0.0185169	0.5296202	0.3323351
750	0.0651166	0.2403355	0.5450911	0.3524647	0.4504444	0.7964211	0.3906849	0.0356895	0.5613035	0.4765595
800	0.1165691	0.1848834	0.5005514	0.4036718	0.3946457	0.6304926	0.3110397	0.0205005	0.4977927	0.3968503
850	0.1516988	0.1854246	0.7271185	0.3510442	0.4591786	0.6801789	0.3053012	0.0190170	0.3818967	0.5031887
900	0.1225210	0.2606070	0.5537041	0.4275898	0.4540855	0.6900344	0.3309297	0.0123447	0.5393046	0.4076181
950	0.1172600	0.2672886	0.6158338	0.3452243	0.3725865	0.8644356	0.3189886	0.0108561	0.4197824	0.3403396
1000	0.1237222	0.2543166	0.6758213	0.4085807	0.5594313	0.6912534	0.3185349	0.0197467	0.3932785	0.4898461

0	0.0813448	0.2855031	0.6819356	0.3383258	0.4141105	0.7041293	0.2971266	0.0240390	0.4676586	0.5281579
50	0.1107571	0.2666751	0.5991594	0.4881020	0.5301251	0.5731706	0.3534812	0.0066471	0.3997681	0.4208379
100	0.0397387	0.1700453	0.6582949	0.5421904	0.5020845	0.5569689	0.4333437	0.0016114	0.4103411	0.3930404
150	0.1161805	0.1057661	0.7559193	0.5458124	0.4381596	0.6065143	0.3557999	0.0004245	0.5017293	0.5065677
200	0.1987583	0.0663851	0.6409590	0.4590796	0.4640083	0.5983117	0.3532030	0.0000928	0.5605625	0.5301790
250	0.2665626	0.1378261	0.8272908	0.5670802	0.5673745	0.6950272	0.3996771	0.0006512	0.3794185	0.3678477
300	0.2711991	0.1200769	0.5834979	0.5949884	0.4677580	0.8150264	0.4666149	0.0034722	0.2814739	0.4291011
350	0.1940877	0.0714883	0.8365154	0.5435474	0.5327009	0.6562321	0.6140869	0.0054989	0.3314500	0.4743376
400	0.2099268	0.0805039	0.7922347	0.6098509	0.5094476	0.8193797	0.6011731	0.0038434	0.2678866	0.5062695
450	0.1915445	0.1201038	0.7190006	0.5721431	0.3755422	0.5198295	0.5214967	0.0044780	0.3401664	0.5151208
500	0.1747297	0.1227565	0.6643159	0.4588267	0.4963016	0.6550232	0.5983536	0.0077329	0.2259580	0.4720989
550	0.2713823	0.1306878	0.6777189	0.4529762	0.4669527	0.7180807	0.6163998	0.0427480	0.3373031	0.3878674
600	0.1124672	0.2134483	0.8021542	0.3821198	0.6263463	0.9676925	0.7551874	0.0634454	0.3590456	0.4482194
650	0.1106214	0.2556442	0.6891945	0.4043141	0.4926094	0.7058480	0.7638405	0.0641406	0.3157350	0.4187608
700	0.1402570	0.2954236	0.6319422	0.3690083	0.4801060	0.7397579	0.5142256	0.0443827	0.4441759	0.4209147
750	0.1021503	0.2407375	0.5402537	0.3528430	0.4757048	0.6823749	0.4513724	0.0311116	0.4408898	0.4100766
800	0.0625236	0.2694801	0.4988047	0.3682802	0.4557704	0.6928974	0.3800990	0.0426405	0.3960718	0.4607790
850	0.0760569	0.2189571	0.5241865	0.3855946	0.4734609	0.7218461	0.3326127	0.0187406	0.4770943	0.4445048
900	0.0650494	0.2195006	0.6260422	0.2760782	0.3857650	0.7936472	0.4001746	0.0236070	0.3939040	0.3793203
950	0.0602389	0.2687759	0.5462898	0.4160323	0.4171290	0.6143420	0.4390003	0.0190426	0.3829885	0.3695283
