"Time"	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C

0	0.0570394	0.1833411	0.7135971	0.3126387	0.6352473	0.3918459	0.7386526	0.7619549	0.0827641	0.8068041
50	0.0264029	0.3203215	0.6362447	0.4523261	0.7761428	0.2584423	0.3458931	0.6820053	0.0577936	0.7789514
100	0.0658921	0.2620453	0.5705293	0.4074788	0.6263597	0.1594339	0.2646083	0.7734660	0.0809586	0.7679575
150	0.1025707	0.2161123	0.7040239	0.3174745	0.7430196	0.1226671	0.2008980	0.6222965	0.0885798	0.8962583
200	0.0663771	0.2491140	0.7606700	0.4114357	0.7707617	0.0694561	0.2432033	0.6288817	0.0465278	0.6809748
250	0.0608133	0.2971561	0.5964101	0.4192499	0.6765603	0.0562209	0.2722377	0.7168560	0.0902407	0.7873641
300	0.1914414	0.3200350	0.6998268	0.4458508	0.3912252	0.0312972	0.1527953	0.7954383	0.0669067	0.7692914
350	0.0741350	0.3269878	0.5752622	0.2557521	0.3361723	0.0293467	0.1752171	0.7500615	0.0769756	0.6374605
400	0.0602678	0.4197397	0.7307118	0.1803562	0.2402580	0.0253160	0.1930852	0.9435922	0.1415042	0.6805660
450	0.1569789	0.4702742	0.6886659	0.1377351	0.1655414	0.0337487	0.1550984	0.8356213	0.0447096	0.7162305
500	0.1475555	0.5005316	0.7406126	0.1122218	0.1522131	0.0232235	0.1960194	0.7509721	0.0572958	0.8311297
550	0.2938787	0.4400041	0.7898780	0.0785361	0.0783438	0.0271486	0.5744561	0.8276995	0.0607790	0.8218146
600	0.2908890	0.4214641	0.8386188	0.0487807	0.2390071	0.0814021	0.5771327	0.7958204	0.0564788	0.7560794
650	0.2683299	0.4346459	0.7018006	0.1400681	0.5008227	0.2096994	0.6183433	0.7278998	0.0914811	0.7494984
700	0.2084553	0.4249284	0.7300990	0.2348423	0.6814569	0.2786312	0.5621697	0.8053626	0.1096135	0.6740025
750	0.2552555	0.5813367	0.8233150	0.2966220	0.7302583	0.3577963	0.6146990	0.7312991	0.0776220	0.8602872
800	0.1609347	0.4356118	0.7182943	0.2731094	0.9516025	0.4742709	0.7408206	0.7517993	0.1426752	0.7678156
850	0.1503580	0.3213990	0.7473255	0.4532308	0.7235023	0.4066678	0.6586907	0.6919269	0.0610057	0.7169706
900	0.1264175	0.2348594	0.5587387	0.3467935	0.7828444	0.5055937	0.7391567	0.8814374	0.1129130	0.7401351
950	0.0992247	0.2011071	0.4971884	0.4055775	0.6512836	0.4232385	0.6815291	0.7123094	0.0914542	0.7546815
1000	0.1103043	0.1513428	0.4963012	0.4640129	0.7162451	0.4378050	0.5410774	0.9089330	0.0885845	0.6784795

0	0.0449832	0.1528067	0.5282947	0.3398903	0.7130878	0.3538378	0.6573294	0.7169353	0.0568069	0.7307103
50	0.0219158	0.2139806	0.5518599	0.5112545	0.7438649	0.4439186	0.7055883	0.6836394	0.0297047	0.7803256
100	0.0181347	0.1880322	0.5988839	0.4299050	0.8241750	0.4392371	0.5818489	0.7464853	0.0259195	0.7460685
150	0.0417711	0.2148795	0.5800626	0.3960281	0.7534305	0.3415679	0.5254918	0.6486738	0.0170308	0.6835964
200	0.0153772	0.2680067	0.5870314	0.4086828	0.7536517	0.3883027	0.4743776	0.5375896	0.0284368	0.7157558
250	0.0093276	0.2431787	0.6060718	0.4900979	0.8199138	0.3156546	0.5876695	0.6224737	0.0370577	0.7370452
300	0.0401908	0.1679429	0.6379370	0.4204557	0.9737770	0.2966204	0.5893380	0.6981596	0.0386377	0.7109878
350	0.0278827	0.2099185	0.6959585	0.4683987	0.7057628	0.3574889	0.6171930	0.6393324	0.0301371	0.8232330
