YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
0.9836398	0.8510414	1.0130369	0.2817910	0.4524524	0.6515595	0.6809350	0.1242488	0.7689808	0.0320999
1.1209881	0.8831657	0.9601194	0.2094710	0.4369644	0.6735761	0.4454859	0.0830024	0.9511695	0.0227321
0.9899067	0.9442637	0.9498921	0.1269770	0.4923737	0.6452106	0.6053220	0.1320525	0.9460044	0.0153123
1.0126983	0.6773194	0.5095907	0.5944880	0.3084014	0.7247582	0.4576629	0.2957765	0.6482775	0.0705606
0.9969924	0.7155043	0.5028546	0.2425455	0.2743967	0.6754379	0.6677804	0.0806027	0.7890723	0.0540403
0.8184616	0.8564998	0.9292063	0.2298289	0.5035507	0.7894737	0.3904303	0.2914717	1.0279155	0.0352113
0.5584427	0.7132506	0.9405444	0.2943106	0.4795879	0.7043415	0.4748666	0.2456340	0.9961626	0.0283101
0.7814046	0.7891232	0.9395037	0.0396170	0.7775814	0.7069774	0.6136614	0.1629536	0.5399526	0.0141918
1.0065436	0.9322219	0.9827063	0.1750616	0.4746006	0.7548884	0.5276001	0.1348037	1.0508265	0.0137629
1.0031357	0.9573666	1.0506747	0.3920550	0.5356163	0.6810628	0.5917879	0.1152408	0.8980591	0.0387082
