"Time"	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C

0	0.9859622	0.1294691	0.5121485	0.2532384	0.9654840	0.8662686	0.1686133	0.5607709	0.0745401	1.0000000
50	0.8438289	0.1293097	0.6344810	0.2532838	0.9658792	0.8939408	0.3474315	0.5676351	0.0453187	0.7265597
100	0.6897769	0.1283320	0.7549664	0.2531225	0.9681959	0.9351181	0.5194165	0.5897255	0.0587611	0.4752557
150	0.5850074	0.1267219	0.8176401	0.2524398	0.9717947	0.9642684	0.5946818	0.5743567	0.1411017	0.3628717
200	0.5239998	0.1251488	0.8470973	0.2512445	0.9751225	0.9807315	0.6191418	0.4784349	0.2249839	0.3210479
250	0.4941299	0.1239651	0.8607662	0.2498663	0.9775143	0.9890811	0.6246133	0.3629168	0.2729318	0.3067162
300	0.4817996	0.1232012	0.8671387	0.2486242	0.9790031	0.9930535	0.6242731	0.2798418	0.2939778	0.3020218
350	0.4776702	0.1227555	0.8701174	0.2476707	0.9798484	0.9948607	0.6229745	0.2326500	0.3020682	0.3005254
400	0.4767327	0.1225133	0.8715049	0.2470162	0.9802983	0.9956546	0.6220478	0.2090788	0.3049555	0.3000567
450	0.4767623	0.1223887	0.8721455	0.2466024	0.9805264	0.9959934	0.6215819	0.1982197	0.3059396	0.2999116
500	0.4769527	0.1223272	0.8724378	0.2463568	0.9806376	0.9961347	0.6213975	0.1934908	0.3062648	0.2998670
550	0.6016337	0.1223088	0.7738540	0.2462185	0.9806719	0.9932057	0.4236326	0.1788420	0.4685500	0.5732936
600	0.7765377	0.1223995	0.6781144	0.2461534	0.9805182	0.9829104	0.2745718	0.1551382	0.3139242	0.8245935
650	0.8861188	0.1227295	0.6278377	0.2461754	0.9799426	0.9666846	0.3012191	0.1860476	0.1669980	0.9369763
700	0.9177681	0.1232591	0.6016729	0.2463372	0.9789923	0.9600956	0.3918662	0.2887497	0.1051311	0.9787997
750	0.9021376	0.1236664	0.5891910	0.2466330	0.9782480	0.9635128	0.4300314	0.4032297	0.0840978	0.9931313
800	0.8874441	0.1237857	0.5853863	0.2469415	0.9780291	0.9681264	0.3800302	0.4833115	0.0774707	0.9978257
850	0.9006523	0.1237347	0.5853755	0.2471428	0.9781245	0.9678270	0.2994831	0.5274626	0.0754354	0.9993220
900	0.9290599	0.1237347	0.5848963	0.2472251	0.9781267	0.9595564	0.2366374	0.5487597	0.0748140	0.9997907
950	0.9541796	0.1239764	0.5810441	0.2472774	0.9776726	0.9433140	0.1994688	0.5581908	0.0746240	0.9999358
1000	0.9702056	0.1245528	0.5727142	0.2474293	0.9765508	0.9227204	0.1804485	0.5620504	0.0745658	0.9999804

0	0.9859622	0.1294691	0.5121485	0.2532384	0.9654840	0.8662686	0.1686133	0.5607709	0.0745401	1.0000000
50	0.9859214	0.1294560	0.5659840	0.1989233	0.9655172	0.8665622	0.1683772	0.5672844	0.0459458	0.8709912
100	0.9860575	0.1294416	0.6174165	0.1397142	0.9655541	0.8661547	0.1627618	0.5913634	0.0356302	0.7524262
150	0.9869800	0.1294672	0.6417956	0.1071884	0.9654896	0.8618408	0.1496979	0.6094220	0.0453905	0.6994036
200	0.9887569	0.1296584	0.6501459	0.0920983	0.9649972	0.8504479	0.1372018	0.6110889	0.0575951	0.6796712
250	0.9905666	0.1301613	0.6496287	0.0856296	0.9636672	0.8341319	0.1315379	0.6012324	0.0654690	0.6729095
300	0.9916730	0.1309694	0.6443498	0.0830831	0.9614517	0.8199145	0.1333721	0.5884717	0.0693274	0.6706946
350	0.9918539	0.1318460	0.6380045	0.0822934	0.9589629	0.8138263	0.1399367	0.5780097	0.0709455	0.6699887
400	0.9912656	0.1324651	0.6337270	0.0822600	0.9571647	0.8166617	0.1478228	0.5710700	0.0715608	0.6697675
450	0.9902394	0.1326366	0.6329598	0.0824632	0.9566666	0.8251604	0.1547148	0.5670451	0.0717802	0.6696991
