YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.0680422	0.2610748	0.9728002	0.5413447	0.8130529	0.5331351	0.2555915	0.0250805	0.7679419	0.5416871
0.2134856	0.1850311	0.8805696	0.4656331	0.6158922	0.9948725	0.6829302	0.0369888	0.4397022	0.6004199
0.1036521	0.3027229	0.3778851	0.3805064	0.5937328	1.0085835	0.6862434	0.0459514	0.4860064	0.6117880
0.1221173	0.3433101	0.1286294	0.2731806	0.6002751	1.0201416	1.0050880	0.3201251	0.1686305	0.6108863
0.1024608	0.5162481	0.2316672	0.3178620	0.3708121	0.9646472	1.0437441	0.5566096	0.2045339	0.7341076
0.1390653	0.2839409	0.8286076	0.5648787	0.7154764	0.4303310	0.5290175	0.0068350	0.6523009	0.5616115
0.1232752	0.2829984	0.8306734	0.5027538	0.8509601	0.4212153	0.1916303	0.0368277	0.7689587	0.5651945
0.1041132	0.3284807	0.8807750	0.5982914	0.5655412	0.9161009	0.4197357	0.0214698	0.7098040	0.5910935
0.1015467	0.3906953	0.7709550	0.5307395	0.6264335	1.0077928	0.9559561	0.1079615	0.3562622	0.5604283
0.1017246	0.3981057	0.8284361	0.4264807	0.6607823	0.9696375	0.4064219	0.0275177	0.6208107	0.2186044
