YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.0938762	0.9817002	0.4138198	0.3370882	0.6381483	0.9684989	0.1703349	0.5264318	0.9994960	0.8232406
0.2125919	0.9965163	0.7667204	0.5008112	0.5678025	0.9319550	0.2038784	0.4450530	0.9997273	1.0000000
0.2133220	0.9940564	0.7134953	0.4653919	0.6047837	0.8007209	0.2326661	0.4693994	0.9997707	1.0000000
0.2362837	0.9223129	0.5407788	0.3828334	0.5710147	0.9337243	0.7314829	0.1398936	0.9996990	0.9395386
0.2337573	0.9292262	0.7416976	0.3853478	0.7026971	0.9998259	0.3888409	0.2510827	0.9763261	0.4370680
0.1440546	0.9475259	0.7725343	0.4813275	0.5108423	0.7547293	0.3597571	0.2896677	0.9997447	1.0000000
0.0785296	0.9884365	0.5166594	0.3744676	0.6241269	0.9985106	0.1663131	0.5304474	0.9997170	1.0000000
0.2163706	0.9840229	0.4967070	0.3667106	0.6050323	0.8539215	0.1774294	0.4130211	0.9992694	0.7445979
0.2334633	0.9302955	0.8039284	0.4933088	0.4442866	0.5578656	0.2202188	0.4576187	0.9799431	0.8836793
0.2134350	0.9936273	0.6675593	0.3725040	0.6250626	0.9996731	0.4277426	0.2866370	0.9994926	0.8288481
