YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.2643222	0.3744280	0.7213575	0.3986953	0.3312517	0.2702642	0.3356341	0.0040327	0.1840230	0.2028905
0.8621296	0.0356946	0.0534673	0.5401086	0.4933871	0.2438180	0.7784028	0.0114086	0.3036471	0.6303792
0.5855337	0.2197095	0.4042154	0.0106013	0.3957658	0.4640168	0.5727575	0.0200351	0.4820527	0.3209355
0.0455509	0.5751068	0.6969509	0.3561670	0.2825074	0.3363042	0.7915154	0.1514032	0.0580071	0.2083601
0.2615049	0.3166185	0.6470903	0.2118617	0.0901458	0.5915531	0.5046879	0.0034673	0.3802520	0.1501669
0.3955562	0.2192927	0.3921752	0.3781043	0.0832621	0.7280969	0.6807598	0.0395997	0.3264496	0.1221541
0.2001585	0.5353815	0.6722550	0.0020833	0.1002196	0.6007390	0.6518758	0.0280873	0.1405322	0.1773795
0.1358375	0.4659171	0.8455058	0.2726897	0.1049023	0.6914415	0.6684120	0.0015338	0.2112727	0.0674775
0.0985114	0.4596831	0.7118881	0.1375249	0.1464294	0.6711133	0.7988130	0.0330716	0.1954306	0.0519233
0.2895201	0.3433702	0.7849651	0.0020210	0.1290385	0.5219930	0.5208214	0.0136419	0.1279171	0.2231371
