YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
0.2928190	0.4439913	0.6508800	0.1029178	0.2012264	0.4368326	0.9264170	0.2748275	0.3911193	0.6355014
0.9089476	0.2219912	0.6508796	0.1029199	0.2012278	0.4368346	0.9264162	0.2748247	0.9551283	0.2165569
0.2714533	0.7609051	0.3254595	0.1029121	0.2012244	0.4368332	0.9264089	0.2748388	0.3796414	0.6451924
0.8118507	0.2974478	0.9186105	0.0514570	0.2012246	0.4368313	0.9264144	0.2748340	0.9326884	0.2468704
0.8250376	0.2920017	0.9258664	0.0470602	0.1441246	0.5660018	0.7212312	0.4791439	0.9384253	0.2409297
0.8242925	0.2889428	0.9404868	0.0451315	0.1466969	0.2877256	0.6825468	0.5012489	0.9369863	0.2425423
0.1826653	0.9965845	0.0371926	0.5472354	0.3679925	0.7088088	0.4976681	0.1058078	0.9720020	0.1873306
0.6879976	0.3777137	0.7524804	0.0852358	0.1888808	0.4096548	0.9853028	0.1562851	0.8845776	0.2961289
0.5857324	0.4438922	0.6509790	0.1029158	0.2012302	0.4368474	0.9263915	0.2748386	0.4079029	0.3513021
0.5857324	0.4438922	0.6509790	0.1029158	0.2012302	0.4368474	0.9263915	0.2748386	0.9767207	0.1756606
