"Time"	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W

0	0.1121965	0.3422842	0.8042739	0.4661344	0.6238964	0.8790871	0.4176971	0.0232324	0.6505050	0.5924273
50	0.1121685	0.3572496	0.8239243	0.6101040	0.3687202	0.9156398	0.4297725	0.0245068	0.5484389	0.4612295
100	0.1111981	0.4465623	0.8797567	0.6579466	0.2112649	0.9558399	0.5027992	0.0327570	0.4436953	0.4075337
150	0.1090426	0.5730855	0.9214206	0.6420042	0.1649432	0.9786460	0.6109344	0.0475185	0.3923673	0.4159053
200	0.1070900	0.6735479	0.9403347	0.6267638	0.1527613	0.9898667	0.7020724	0.0612765	0.3738315	0.4297764
250	0.1058812	0.7341021	0.9459675	0.6197548	0.1493943	0.9950658	0.7592223	0.0689821	0.3698636	0.4377921
300	0.1052517	0.7657299	0.9465064	0.6171454	0.1483341	0.9973948	0.7885217	0.0714843	0.3708072	0.4414625
350	0.1049505	0.7809948	0.9458266	0.6162430	0.1479510	0.9984160	0.8009432	0.0714862	0.3726452	0.4430048
400	0.1048123	0.7880384	0.9451744	0.6159324	0.1477991	0.9988560	0.8049437	0.0707951	0.3741256	0.4436330
450	0.1047503	0.7912048	0.9447687	0.6158219	0.1477361	0.9990416	0.8054560	0.0701417	0.3750713	0.4438870
500	0.1047228	0.7926067	0.9445542	0.6157806	0.1477097	0.9991172	0.8048701	0.0696952	0.3756101	0.4439900
550	0.1047144	0.7588529	0.9224793	0.3930262	0.3911163	0.9942127	0.7891323	0.0609514	0.4828589	0.6167704
600	0.1047897	0.6311945	0.7737486	0.3530300	0.5396681	0.9878279	0.7058923	0.0403645	0.5836341	0.6615348
650	0.1051343	0.5081322	0.6543036	0.3993182	0.5822141	0.9799744	0.5975312	0.0291301	0.6272395	0.6395120
700	0.1059343	0.4306764	0.6492377	0.4306862	0.5938059	0.9670834	0.5152012	0.0251223	0.6409770	0.6201120
750	0.1071540	0.3898236	0.6902589	0.4443061	0.5991757	0.9487373	0.4668773	0.0238906	0.6464537	0.6100615
800	0.1084853	0.3696476	0.7293592	0.4503176	0.6042152	0.9286488	0.4412986	0.0234625	0.6505462	0.6049992
850	0.1096229	0.3594036	0.7555133	0.4541003	0.6094576	0.9109665	0.4277063	0.0232491	0.6529562	0.6018097
900	0.1104580	0.3535780	0.7715933	0.4573080	0.6142447	0.8975513	0.4204597	0.0231401	0.6536135	0.5992766
950	0.1110306	0.3497790	0.7819352	0.4601197	0.6180712	0.8883885	0.4169305	0.0231062	0.6532707	0.5971366
