"Time"	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W

0	0.6761713	0.7463790	0.9418608	0.1201773	0.9476899	0.0295018	0.9988566	0.0050877	0.0337875	1.0239361
50	0.6342205	0.8573050	0.9304187	0.0570832	0.9634752	0.0337330	0.4009647	0.0031484	0.0178613	1.0282994
100	0.6767271	0.8810493	1.0540307	0.0720668	0.8195816	0.0278805	0.2739352	0.0044392	0.0124844	0.9772700
150	0.7839995	0.8564550	1.0483906	0.1111505	0.8670450	0.0391197	0.2450467	0.0041621	0.0110902	0.9575853
200	0.6948854	0.8382823	0.9296420	0.1494517	0.9532278	0.0384548	0.2513834	0.0034844	0.0059323	1.0089881
250	0.7036945	0.8288548	0.9159304	0.0848473	0.8672196	0.0468095	0.2258135	0.0066901	0.0153053	1.0344747
300	0.6864926	0.8032042	0.9818195	0.1472514	0.7651435	0.0408877	0.2377168	0.0059710	0.0078264	0.9436220
350	0.6444410	0.8027394	0.8609893	0.1402670	0.8526568	0.0742584	0.2669385	0.0005669	0.0136817	1.0185770
400	0.7170592	0.8298574	0.9308398	0.1237113	0.8345391	0.0414640	0.2703899	0.0040121	0.0156927	1.0442889
450	0.6597857	0.7638249	0.9613659	0.0904426	0.8840790	0.0320418	0.2485219	0.0087079	0.0055677	1.1086309
500	0.7000875	0.8116114	0.9539383	0.0851459	0.8656802	0.0304712	0.2453066	0.0080354	0.0140503	1.0375545
550	0.6956820	0.8803281	0.7949256	0.2451633	0.9454752	0.0285954	0.8844897	0.0018639	0.0201158	0.9662414
600	0.6893257	0.7986748	0.5957090	0.2064716	0.9852741	0.0347938	0.9664325	0.0028611	0.0023992	1.0826439
650	0.6967971	0.7737505	0.7544361	0.1307059	0.9308393	0.0383579	1.0316923	0.0004882	0.0172312	1.1152540
700	0.6678455	0.7716738	0.8682937	0.0875694	0.9089764	0.0259922	1.0111281	0.0012493	0.0137593	1.0109861
750	0.6168881	0.7956600	0.9222540	0.1117987	1.0104141	0.0217273	1.0377477	0.0026104	0.0122844	1.0132892
800	0.6871846	0.8241771	0.8748285	0.1054849	0.9687229	0.0326159	1.0454327	0.0061794	0.0106321	0.9843914
850	0.7055561	0.8047008	0.9248011	0.1485621	0.9742175	0.0411964	1.0265392	0.0010915	0.0063181	1.0547659
900	0.6531921	0.7695752	0.8023028	0.1740330	0.9429209	0.0520227	0.9971803	0.0008958	0.0122264	1.0738615
950	0.7155165	0.7317815	0.8452088	0.1337178	0.9708867	0.0512180	1.0214028	0.0000000	0.0256525	0.9731631
1000	0.5727180	0.7066669	0.9115504	0.1187980	0.8822725	0.0292683	0.9770706	0.0013850	0.0387437	1.0387569

0	0.6761713	0.7463790	0.9418608	0.1201773	0.9476899	0.0295018	0.9988566	0.0050877	0.0337875	1.0239361
50	0.6683984	0.9754780	0.8030399	0.1646660	1.0336014	0.0321001	0.3707192	0.0065948	0.0140097	0.9282023
100	0.6413634	0.9870200	0.8224565	0.2552839	0.9714009	0.0465529	0.2576508	0.0024627	0.0174409	0.9336606
150	0.7948583	0.9739146	0.4973773	0.3506479	0.9451337	0.0489833	0.2691337	0.0038322	0.0156681	0.9789788
200	0.7432287	0.9192398	0.3298195	0.4004558	0.8739182	0.0506002	0.2493880	0.0058825	0.0139445	0.9820651
250	0.6940996	0.9122608	0.3043688	0.4033054	0.9120267	0.0406325	0.2757259	0.0053182	0.0112792	1.0548240
300	0.6473049	0.8419860	0.3171458	0.3642012	0.9278520	0.0554781	0.2086998	0.0137581	0.0153514	1.0346057
350	0.6897457	0.7843305	0.3438382	0.3728519	0.9227129	0.0442557	0.2542269	0.0114797	0.0128381	0.9298217
400	0.6369005	0.8244023	0.2547918	0.4041915	0.9653982	0.0457330	0.2440407	0.0093827	0.0199016	0.9713656
450	0.6569291	0.7641905	0.2114436	0.4323016	0.9660359	0.0687903	0.2434733	0.0111913	0.0210151	1.0572834
500	0.6479988	0.7785771	0.1963994	0.4460360	0.9662240	0.0480493	0.2749419	0.0045093	0.0150273	1.0670431
550	0.6235857	0.4095786	0.2330039	0.3178324	1.0120756	0.0513621	0.9006487	0.0061078	0.0213225	1.0828919
600	0.4921521	0.2898673	0.5007013	0.1578168	0.9886071	0.0410412	0.9923342	0.0023313	0.0380190	0.9399807
650	0.4384876	0.3800356	0.8798632	0.0708695	1.0141823	0.0420773	1.0303319	0.0030634	0.0595171	1.0300946
700	0.3370148	0.5333115	0.9935359	0.0790002	0.9889052	0.0350170	1.0136326	0.0080104	0.0667145	0.9798990
750	0.4241057	0.6901596	0.9105749	0.0692350	0.9518584	0.0359107	1.0053247	0.0003059	0.0433092	1.0028824
800	0.5071121	0.7221995	0.9060931	0.0644095	0.9412895	0.0353922	0.9740063	0.0029667	0.0285420	0.9445903
850	0.6214718	0.7418510	1.0526978	0.0618030	0.9289645	0.0324262	1.0711406	0.0048977	0.0275530	0.9925359
900	0.6701570	0.8325001	0.9678190	0.0895688	0.9070866	0.0324082	1.0027997	0.0058811	0.0362226	1.0203227
950	0.5960045	0.8390252	0.9728611	0.0979635	0.8937773	0.0284887	0.9580549	0.0051821	0.0491124	1.0276034
1000	0.6623598	0.8399527	0.9784640	0.1049790	1.0050469	0.0389344	1.0201944	0.0051459	0.0191985	0.9860241

