"Time"	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C

0	1.0205954	1.0025112	0.7320524	0.1445737	0.1120202	1.0314729	0.9378306	0.7046024	0.5939311	1.1207994
50	0.9385298	1.0164297	0.8547622	0.1473147	0.1003510	0.9925326	1.0151657	0.5931880	0.5092754	1.0792089
100	1.0037632	1.1803802	0.7550788	0.2133950	0.1116640	0.9818781	0.9678338	0.4988021	0.4933885	0.9957619
150	0.9176725	1.1146142	0.6248641	0.3172634	0.0995174	0.9144668	0.9058889	0.5042201	0.5074522	1.0171676
200	0.9982479	0.9059198	0.5918013	0.3202507	0.0958630	0.8829852	0.9603796	0.3998591	0.6045117	1.1277661
250	1.0169010	0.8244455	0.4819771	0.3671669	0.0947615	0.9053035	0.9660801	0.3927414	0.6949861	1.0601283
300	0.9721586	0.6011922	0.3536981	0.4183500	0.0954702	0.9930940	0.9477616	0.3276611	0.6560979	1.0345588
350	1.0967050	0.3993313	0.2801615	0.3822877	0.0655154	1.1589296	0.8107936	0.3369531	0.5830665	1.0395069
400	1.0421264	0.2359966	0.2553389	0.3859086	0.0830889	1.0918995	0.9083864	0.3296148	0.7145269	1.0332348
450	0.8665015	0.1452968	0.2536256	0.3415067	0.0793520	1.1016533	0.8332097	0.3014707	0.8286875	1.0440465
500	0.6911858	0.1065421	0.2816623	0.3821939	0.0831406	0.9429897	0.9295733	0.2553119	0.8817711	1.0194557
550	0.4656082	0.0902221	0.3050552	0.3222822	0.1288187	0.9174446	0.9143239	0.2557631	0.9131595	0.9928020
600	0.2990959	0.1059548	0.2892854	0.2057582	0.1263000	0.9880763	0.8251372	0.2927586	0.8841556	1.0122256
650	0.3031044	0.1899979	0.4861838	0.1565864	0.1769452	0.9775960	0.8557913	0.3252282	0.9007862	1.0004261
700	0.4707004	0.4218488	0.6052222	0.1345043	0.1646327	1.0516773	0.7744347	0.2877429	0.8763137	1.0704536
750	0.6931500	0.6981355	0.6603687	0.1184579	0.1480428	0.9528528	0.9181729	0.3172732	0.8127484	1.1141067
800	0.8177426	0.7547829	0.7546601	0.1414925	0.1433493	1.0777447	0.9535235	0.4023575	0.6932047	1.0411133
850	0.9699750	0.8677732	0.7374218	0.1378774	0.1827173	1.0064393	0.9365236	0.4880614	0.5988380	1.0505408
900	0.9630780	0.9238706	0.8805316	0.1526597	0.1603413	0.9849244	0.9125710	0.5694684	0.5844155	1.0186490
950	0.7892063	0.9140730	0.8461896	0.1217921	0.1984419	0.9613073	0.9579533	0.5454100	0.6018021	1.1574305
1000	1.0107450	0.9697601	0.8076683	0.1350368	0.1310146	1.0204255	1.0799877	0.5879522	0.5000561	1.0603884

