YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
0.0000000	0.0153724	0.7211651	0.2706019	0.3215395	0.4675330	0.4641215	0.0486325	0.8326427	0.0158798
0.7264953	0.0000000	0.7174685	0.2978132	0.2936280	0.4444254	0.5294077	0.0350722	0.7417606	0.0387936
0.6337747	0.0405935	0.0000000	0.4621483	0.2823382	0.5298827	0.5842253	0.0396721	0.3574926	0.7159699
0.7486481	0.6438719	0.8417981	0.0000000	0.2292721	0.4453393	0.5914020	0.0968442	0.6647793	0.0252802
0.7893240	0.4918845	0.2825844	0.7511709	0.0000000	0.7584508	0.6231335	0.0219625	0.5915717	0.1351733
0.8009268	0.4923455	0.3898423	0.6611709	0.0652963	0.0000000	0.8084115	0.0329300	0.7009259	0.0951283
0.6797575	0.6975698	0.7305526	0.0540994	0.4921573	0.6198574	0.0000000	0.1918466	0.7387994	0.0108000
0.7204335	0.7360310	0.6546894	0.3455237	0.1886363	0.4708707	0.8689856	0.0000000	0.6196675	0.0149072
0.6872198	0.6449593	0.5935018	0.2861610	0.2446107	0.5033823	0.7932791	0.0040537	0.0000000	0.0151903
0.5377602	0.7070048	0.6612207	0.3306730	0.2131387	0.4920214	0.5585133	0.0737269	0.9200354	0.0000000
