YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
0.5000008	0.5890888	0.8847959	0.4121780	0.3973422	0.6774472	0.6603034	0.1053013	0.9999983	0.0317042
1.0000000	0.4546046	0.8848392	0.4121680	0.3973591	0.6774502	0.6603183	0.1053039	0.9999983	0.0317017
1.0000000	0.6266228	0.4423513	0.4123231	0.3972801	0.6774504	0.6604015	0.1052498	0.9995687	0.1300610
1.0000000	0.9234672	0.9526387	0.2885349	0.3393602	0.6296165	0.7126413	0.0831273	0.9999990	0.0276737
1.0000000	0.7485084	0.5534878	0.8255647	0.2550285	0.7689016	0.7943626	0.0545668	0.9999302	0.0815768
1.0000000	0.6291423	0.4442484	0.9856004	0.1386483	0.4024086	0.8924552	0.0265184	0.9995838	0.1289331
1.0000000	0.9311280	0.9959517	0.1139031	0.6187221	0.8649920	0.2531026	0.1978541	0.9999992	0.0256002
1.0000000	0.8932339	0.8268285	0.4930152	0.3675330	0.6532605	0.8191188	0.0468451	0.9999971	0.0360367
1.0000000	0.8946590	0.8323773	0.4845742	0.3706395	0.6554830	0.8003680	0.0526806	0.4999986	0.0356338
1.0000000	0.9087421	0.8847327	0.4121673	0.3973594	0.6774502	0.6603179	0.1053041	0.9999999	0.0158660
