"Time"	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C

0	0.3101590	0.4734070	0.5896078	0.7084843	0.0616121	0.1569973	0.9209183	0.1433667	0.2088389	0.6911117
50	0.2732758	0.3528170	0.5536961	0.8801265	0.0414824	0.1011680	0.5309883	0.1353612	0.2758899	0.6684424
100	0.2961117	0.3526371	0.4667035	0.7169433	0.0242764	0.0717381	0.2135044	0.1871808	0.1925164	0.9009342
150	0.2993914	0.3533318	0.4651058	0.7617030	0.0083499	0.1148748	0.0972411	0.2336210	0.0961114	0.8289370
200	0.2449771	0.2540553	0.4819833	0.6693370	0.0292714	0.1747927	0.0908856	0.1890819	0.0824261	0.7674501
250	0.2639167	0.3191342	0.4442811	0.7770160	0.0188709	0.1865978	0.0731543	0.1607564	0.0787963	0.7703355
300	0.2060526	0.4923089	0.6606744	0.8638033	0.0548471	0.2110993	0.0526076	0.1655943	0.0886453	0.7380069
350	0.3261398	0.3454355	0.5897904	0.9738823	0.0721338	0.2214924	0.0403625	0.1780561	0.1260363	0.6341690
400	0.2552108	0.3104610	0.6703175	0.8256017	0.0529399	0.2138232	0.0460010	0.2221393	0.1658889	0.7090175
450	0.2662717	0.2914321	0.5086849	0.7733939	0.0329754	0.2111949	0.0118411	0.2384899	0.2348489	0.7714604
500	0.3598935	0.3242327	0.4940176	0.6456197	0.0579973	0.2402013	0.0358320	0.2114285	0.2189336	0.7407241
550	0.4262725	0.3740798	0.3939403	0.6325720	0.1072840	0.3968872	0.3918410	0.1378348	0.2180382	0.7098737
600	0.2539078	0.3976481	0.5007800	0.6012635	0.1113504	0.3098716	0.6781403	0.1724172	0.3576436	0.7496906
650	0.2258533	0.4045194	0.5416834	0.7131787	0.2074004	0.2610949	0.6528906	0.2394660	0.3555744	0.7789145
700	0.2669945	0.3405623	0.5260784	0.7313169	0.1846779	0.2456059	0.7420532	0.1245624	0.2569220	0.5689478
750	0.3396636	0.3256426	0.5371758	0.5990830	0.1272892	0.2036846	0.7512140	0.1726697	0.3342983	0.6684954
800	0.3277928	0.2930764	0.5173973	0.6254599	0.0607840	0.2020629	0.7176459	0.1441815	0.3420758	0.8255365
850	0.3888412	0.3966764	0.5427120	0.6765301	0.0414867	0.1939914	0.7274128	0.1860570	0.2382380	0.7122657
900	0.3189627	0.3971168	0.5417871	0.8456883	0.0231274	0.2892144	0.6724889	0.1790229	0.3307795	0.8456420
950	0.3322268	0.3069912	0.5027530	0.8100858	0.0148591	0.1825286	0.7076808	0.2309994	0.2186269	0.7364164
1000	0.2467989	0.3276265	0.6418877	0.7591757	0.0464554	0.1319647	0.7470721	0.1535656	0.1909709	0.6632095

0	0.3102205	0.4006136	0.5505632	0.6485537	0.0520724	0.1649266	0.7857936	0.1704948	0.2001571	0.7067291
50	0.2794852	0.3024319	0.3742525	0.8365257	0.2316356	0.1978031	0.8133824	0.1416199	0.1542604	0.7778535
100	0.2169885	0.3885362	0.5047206	0.7298519	0.3044854	0.1741348	0.7590982	0.0408237	0.3732742	0.5919821
150	0.2346731	0.5071559	0.5018110	0.6801171	0.4426838	0.1512475	0.6455006	0.0548508	0.3689736	0.7238042
200	0.2765274	0.4090745	0.4693235	0.7580653	0.3742423	0.2043137	0.6055850	0.0246155	0.4381869	0.9779193
250	0.2166044	0.3008147	0.5280773	0.7905639	0.3854109	0.1531461	0.7149356	0.0233339	0.4218462	0.7578748
300	0.2477705	0.3623900	0.5267048	0.5898288	0.4674253	0.1832867	0.6241698	0.0020428	0.4506245	0.7788164
350	0.2483796	0.3858035	0.6565575	0.7050965	0.4563891	0.1901126	0.6507692	0.0006253	0.3038046	0.7300692
400	0.3609516	0.3792653	0.5774701	0.5270911	0.4152289	0.2486861	0.6265209	0.0000505	0.4120366	0.8035548
450	0.4043160	0.3746251	0.5224606	0.4497412	0.3505707	0.1744066	0.7030267	0.0007964	0.3163989	0.7384777
500	0.3117162	0.3515293	0.4708178	0.7459595	0.4883931	0.1438056	0.8037718	0.0005299	0.3653144	0.7757130
550	0.2757277	0.3632731	0.5791401	0.4906314	0.3882305	0.1930118	0.7784841	0.0508023	0.3435567	0.8438932
600	0.2310268	0.3666609	0.4585589	0.5818441	0.1233394	0.1948762	0.7717985	0.1036953	0.2897074	0.7242398
650	0.3101668	0.3239018	0.5586893	0.7773063	0.1154819	0.1856639	0.7048666	0.1021563	0.3752503	0.7124287
700	0.3213005	0.3149755	0.4866797	0.7551719	0.0723181	0.2176627	0.8046640	0.0728436	0.3244055	0.6907513
750	0.2460020	0.3016476	0.5330133	0.8203183	0.0696121	0.1633035	0.7377525	0.0938126	0.2906024	0.7039371
800	0.3444329	0.3256749	0.5847753	0.8263702	0.0408391	0.2226287	0.7919829	0.1266041	0.3194375	0.7172199
850	0.2792644	0.3707765	0.6122948	0.9013459	0.0302121	0.1521279	0.8845795	0.1236085	0.1583143	0.7623647
900	0.3255398	0.2602989	0.5659192	0.7800175	0.0587125	0.1471977	0.7813149	0.1318034	0.1754448	0.8065490
950	0.3243207	0.3936273	0.5049471	0.7345190	0.0540258	0.1208010	0.7046986	0.1091060	0.2118866	0.8196562
1000	0.4583028	0.3803811	0.5355463	0.6991850	0.0885223	0.0775229	0.8457374	0.1471339	0.2223052	0.7141735

0	0.3335044	0.3757386	0.7056444	0.7209357	0.0513569	0.2112702	0.8179205	0.1620604	0.1894160	0.7797509
50	0.3221223	0.2113522	0.5474271	0.6827253	0.0559690	0.1215875	0.8040694	0.1078692	0.2345802	0.7606530
100	0.4654334	0.1120242	0.6131652	0.6991476	0.0263512	0.0373140	0.7885474	0.2125693	0.1264545	0.6842409
150	0.4864244	0.0645300	0.5285647	0.8283219	0.0062357	0.0093811	0.6450976	0.1184587	0.1091962	0.7113992
200	0.5110975	0.0757590	0.5098125	0.8682064	0.0041000	0.0077172	0.8431396	0.1208830	0.0718002	0.7961196
250	0.5995748	0.0785232	0.4448366	0.7596923	0.0061082	0.0003615	0.7614661	0.1016138	0.0688963	0.6466338
300	0.6415823	0.0382448	0.5548772	0.7889704	0.0139051	0.0021948	0.8047544	0.0423014	0.0800462	0.7817151
350	0.6104353	0.0521776	0.5262778	0.7065481	0.0156831	0.0002323	0.8075895	0.0196134	0.0701257	0.8221835
400	0.6929394	0.0325423	0.5827207	0.7895774	0.0047582	0.0040528	0.8162111	0.0347728	0.0240669	0.8212891
450	0.7195071	0.0526599	0.5086339	0.6261983	0.0195938	0.0034844	0.7544028	0.0203266	0.0433421	0.8135320
