YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.0000000	0.3360986	0.1983540	0.4642500	0.9499410	0.0579674	0.0444023	0.6219007	1.0076393	1.0411712
0.3605627	0.0000000	0.1481522	0.4817622	0.9502780	0.0941255	0.0643860	0.5983761	0.9589574	1.0774148
0.4861061	0.0150881	0.0000000	0.5556717	1.0561375	0.0773892	0.0531485	0.5866517	1.0094893	0.9776286
0.0179743	0.0533047	0.0321947	0.0000000	0.9475016	0.0575264	0.0608575	0.6121955	0.9996219	1.0196241
0.8255982	0.8482186	0.6511186	1.0076463	0.0000000	0.3010379	0.0590188	0.6913456	0.9875230	0.2645673
0.3241755	0.1992163	0.1328300	0.4303764	1.0781287	0.0000000	0.0465508	0.5739326	1.1278764	1.1122254
0.4562842	0.2785399	0.1271653	0.5645259	0.9909502	0.0326005	0.0000000	0.6700765	1.0479799	0.8024191
0.6628210	0.7367465	0.4234166	0.8883581	0.7633864	0.6270228	0.9003006	0.0000000	0.9770444	0.0633003
0.3959671	0.2548675	0.1624673	0.5752546	0.8971850	0.1459060	0.0906721	0.0949104	0.0000000	0.9999406
0.4728482	0.4496196	0.2196372	0.5581137	0.9244208	0.0938948	0.0599528	0.5664542	0.9935262	0.0000000
