YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.6338358	0.7200218	0.4505334	0.8471323	0.1365467	0.3186980	0.7511759	0.2879153	0.7566706	1.0000000
0.4676435	1.0000000	0.5551230	0.6025945	0.5457536	0.5674348	0.4460896	0.2908743	0.5942197	1.0000000
0.5710487	0.8689240	0.4886459	0.7463197	0.3033708	0.0703359	0.5915889	0.3510987	0.5506940	1.0000000
0.7397482	0.2394874	0.6299871	0.8263109	0.2315132	0.4550512	0.6180930	0.3777050	0.4874477	0.7209790
0.4878955	1.0000000	0.4576182	0.7397991	0.2830525	0.5284837	0.5517530	0.4318397	0.3853457	0.4565358
0.4128049	0.8929482	0.3873551	0.8639856	0.2453769	0.4745607	0.6438233	0.3249646	0.5755327	1.0000000
0.4878955	1.0000000	0.3595637	0.8373270	0.2556510	0.4885526	0.6399206	0.3205878	0.6384125	0.9046787
0.3834246	1.0000000	0.0913393	0.9398773	0.2030429	0.4147230	0.7211959	0.2510841	0.4636363	0.6842606
0.2065931	0.8526052	0.5745071	0.6427984	0.4527459	0.7442803	0.2844101	0.3451671	0.5664486	0.7931808
0.5728646	0.8868590	0.5803873	0.6180444	0.5405376	0.5491601	0.4012010	0.2490352	0.5907713	1.0000000
