YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
0.0000000	0.4887372	0.1992063	0.4247165	0.5746869	0.3744949	0.3917495	0.6879299	0.5922487	0.2029916
1.0901551	0.0000000	0.0638487	0.8151057	0.3456144	0.4470896	0.2547657	0.0139814	0.4908932	0.1749795
0.7307237	0.0028220	0.0000000	0.6984866	0.3608393	0.5125477	0.3661776	0.0317614	0.4803067	0.2623138
0.2370551	0.6008216	0.3707536	0.0000000	0.3710105	0.3761623	0.2709431	0.0260887	0.5125383	0.2741163
0.5473227	0.2004640	0.1189518	0.7539122	0.0000000	0.2149020	0.8391876	0.0740259	0.7496609	0.1204992
0.2931261	0.6551716	0.2316204	0.8688266	0.3259151	0.0000000	0.3539367	0.0800703	0.7786687	0.0847734
0.6688478	0.1266306	0.0251692	0.9352764	0.0103083	0.8382540	0.0000000	0.0125645	0.2259109	0.4312692
0.6635746	0.1568432	0.0888019	0.6489501	0.4000555	0.3394712	0.3396014	0.0000000	0.6081407	0.1638778
0.5864654	0.2251518	0.0907712	0.6402085	0.3181784	0.4732527	0.3657090	0.0321040	0.0000000	0.2756473
0.1830026	0.7786381	0.5446176	0.8506830	0.3868313	0.4813718	0.3478626	0.0134151	0.6833898	0.0000000
