YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.0155571	0.3669339	0.1941987	0.7853856	0.6747185	0.6111094	0.3374797	0.6891394	0.5580332	0.8120938
0.8687985	0.0106960	0.4021271	0.6714618	0.3764297	0.5326533	0.1203928	0.9254523	0.3609642	1.0004667
0.0013217	0.6886643	0.3177283	0.9136426	0.7107468	0.8034627	0.2069474	0.7825135	0.2135167	0.9878561
0.7516918	0.0078976	0.2963059	0.7960895	0.6388461	0.7361117	0.1804610	0.6155917	0.5175975	0.8203648
0.4994922	0.0056000	0.2980718	0.6401899	0.5159079	0.1905545	0.2141814	0.7262914	0.3241928	0.9384387
1.0101555	0.0014501	0.2385103	0.8222384	0.8344397	0.2217099	0.2827749	0.6575092	0.3644075	0.9574782
0.8937607	0.0271338	0.4625697	0.5339446	0.3563879	1.0022219	0.1273054	1.0145761	0.1980861	0.9962594
0.0749152	0.3273115	0.2845444	1.0388542	0.8755921	0.1198729	0.9207609	0.1129528	0.4213574	1.0403446
0.7336070	0.0408621	0.3168672	0.7608773	0.6899623	0.4794455	0.3076295	0.5611786	0.4937778	0.8855307
0.2916058	0.2105876	0.3118336	0.9800051	0.7632232	0.5380601	0.1902448	0.9391521	0.2660520	1.0735832
