YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
0.0000000	0.5144219	0.6589334	0.7245141	0.0334099	0.2569408	0.6137767	0.0644483	0.1935875	0.3779805
0.6940361	0.0000000	0.6876061	0.1362194	0.4697739	0.5174820	0.1755011	0.3649040	0.4887950	0.0440706
0.6143321	0.4059618	0.0000000	0.6227366	0.0954860	0.3230016	0.6354258	0.0127769	0.0025469	0.3455011
0.6372635	0.4760012	0.6949452	0.0000000	0.0678914	0.3339021	0.7214936	0.1530509	0.1201189	0.3642653
0.7166475	0.3476653	0.6827762	0.7322714	0.0000000	0.4043506	0.5650751	0.1194768	0.2138126	0.2636000
0.7267905	0.4381349	0.5953558	0.6357785	0.0616467	0.0000000	0.7004099	0.0977393	0.1954470	0.3752856
0.6770164	0.6413432	0.6191898	0.6611585	0.0344817	0.6680676	0.0000000	0.0712448	0.1663699	0.0369366
0.5647409	0.4949449	0.7162341	0.7644042	0.0407270	0.2858274	0.6218171	0.0000000	0.1203874	0.4395430
0.6210716	0.4728116	0.0338023	0.7302418	0.0106580	0.3241666	0.6264017	0.0420135	0.0000000	0.3365356
0.6648210	0.6422649	0.7748293	0.7537946	0.0882424	0.3344918	0.5866548	0.1351044	0.2079298	0.0000000
